backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),36244344,3,load,0.396301,39829,0.00293041,0,1
DDC (New),36244344,3,OR,0.109571,0,0,3313,1
DDC (New),36244344,3,AND,0.012681,0,0,0,1
DDC (New),36244344,3,XOR,0.08668,0,0,3313,1
DDC (New),36244344,3,multi-OR,0.641289,0,0,4844,1
DDC (New),36244344,3,OR_op,0.032268,0,0,3313,1
DDC (New),36244344,3,AND_op,0.005155,0,0,0,1
DDC (New),36244344,3,XOR_op,0.030911,0,0,3313,1
DDC (New),36244344,3,NOT_op,0.01011,0,0,36242603,1
DDC (New),36244344,3,COMP_op,0.37391,0,0,36242772,1
