backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,2528312,6,load,0.454066,868592,0.458062,0,1
EWAH,2528312,6,OR,0.174177,0,0,2206089,1
EWAH,2528312,6,AND,0.018174,0,0,0,1
EWAH,2528312,6,XOR,0.175755,0,0,2206089,1
EWAH,2528312,6,multi-OR,0.814932,0,0,2528312,1
EWAH,2528312,6,OR_op,0.082719,0,0,0,1
EWAH,2528312,6,AND_op,0.013088,0,0,0,1
EWAH,2528312,6,XOR_op,0.071922,0,0,0,1
EWAH,2528312,6,NOT_op,0.090943,0,0,0,1
EWAH,2528312,6,COMP_op,0.218603,0,0,0,1
