backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),2528312,6,load,0.717472,849768,0.448135,0,1
WAH (FastBit),2528312,6,OR,0.316309,0,0,2206089,1
WAH (FastBit),2528312,6,AND,0.233727,0,0,0,1
WAH (FastBit),2528312,6,XOR,0.202069,0,0,2206089,1
WAH (FastBit),2528312,6,multi-OR,0.310054,0,0,2528312,1
WAH (FastBit),2528312,6,OR_op,0.121343,0,0,0,1
WAH (FastBit),2528312,6,AND_op,0.112524,0,0,0,1
WAH (FastBit),2528312,6,XOR_op,0.077708,0,0,0,1
WAH (FastBit),2528312,6,NOT_op,0.01287,0,0,0,1
WAH (FastBit),2528312,6,COMP_op,0.395581,0,0,0,1
