backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,36244344,3,load,0.04765,52592,0.00386944,0,1
EWAH,36244344,3,OR,0.026346,0,0,3313,1
EWAH,36244344,3,AND,0.010035,0,0,0,1
EWAH,36244344,3,XOR,0.022567,0,0,3313,1
EWAH,36244344,3,multi-OR,0.050482,0,0,4844,1
EWAH,36244344,3,OR_op,0.013564,0,0,0,1
EWAH,36244344,3,AND_op,0.007577,0,0,0,1
EWAH,36244344,3,XOR_op,0.013535,0,0,0,1
EWAH,36244344,3,NOT_op,0.014418,0,0,0,1
EWAH,36244344,3,COMP_op,0.049451,0,0,0,1
