backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),36244344,3,load,0.073408,26716,0.00196562,0,1
WAH (FastBit),36244344,3,OR,0.050494,0,0,3313,1
WAH (FastBit),36244344,3,AND,0.008864,0,0,0,1
WAH (FastBit),36244344,3,XOR,0.010892,0,0,3313,1
WAH (FastBit),36244344,3,multi-OR,0.065738,0,0,4844,1
WAH (FastBit),36244344,3,OR_op,0.016096,0,0,0,1
WAH (FastBit),36244344,3,AND_op,0.003815,0,0,0,1
WAH (FastBit),36244344,3,XOR_op,0.00821,0,0,0,1
WAH (FastBit),36244344,3,NOT_op,0.0005,0,0,0,1
WAH (FastBit),36244344,3,COMP_op,0.046175,0,0,0,1
