backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),36244344,3,load,0.191332,953,7.01167e-05,0,1
DDC (New),36244344,3,OR,0.018188,0,0,18491,1
DDC (New),36244344,3,AND,0.012537,0,0,0,1
DDC (New),36244344,3,XOR,0.008605,0,0,18491,1
DDC (New),36244344,3,multi-OR,0.011527,0,0,26216,1
DDC (New),36244344,3,OR_op,0.000898,0,0,18491,1
DDC (New),36244344,3,AND_op,8e-05,0,0,0,1
DDC (New),36244344,3,XOR_op,0.000882,0,0,18491,1
DDC (New),36244344,3,NOT_op,0.000328,0,0,36234095,1
DDC (New),36244344,3,COMP_op,0.046836,0,0,36236102,1
