backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,234997,215,load,1.06095,291236,0.0461142,0,1
CRoaring,234997,215,OR,0.031743,0,0,100888,1
CRoaring,234997,215,AND,0.012392,0,0,0,1
CRoaring,234997,215,XOR,0.026253,0,0,100888,1
CRoaring,234997,215,multi-OR,0.432088,0,0,211073,1
CRoaring,234997,215,OR_op,0.005528,0,0,100888,1
CRoaring,234997,215,AND_op,0.006695,0,0,0,1
CRoaring,234997,215,XOR_op,0.01182,0,0,100888,1
CRoaring,234997,215,NOT_op,0.001575,0,0,150154,1
CRoaring,234997,215,OR_op_conv,0.006985,0,0,100888,1
CRoaring,234997,215,AND_op_conv,0.007149,0,0,0,1
CRoaring,234997,215,XOR_op_conv,0.013107,0,0,100888,1
CRoaring,234997,215,NOT_op_conv,0.00288,0,0,150154,1
CRoaring,234997,215,COMP_op_native,0.030503,0,0,218952,1
CRoaring,234997,215,COMP_op,0.031911,0,0,0,1
