backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),234997,215,load,1.25189,275748,0.0436618,0,1
DDC (New),234997,215,OR,0.027434,0,0,100888,1
DDC (New),234997,215,AND,0.017808,0,0,0,1
DDC (New),234997,215,XOR,0.020469,0,0,100888,1
DDC (New),234997,215,multi-OR,0.452683,0,0,211073,1
DDC (New),234997,215,OR_op,0.002865,0,0,100888,1
DDC (New),234997,215,AND_op,0.00311,0,0,0,1
DDC (New),234997,215,XOR_op,0.002844,0,0,100888,1
DDC (New),234997,215,NOT_op,0.001529,0,0,150154,1
DDC (New),234997,215,COMP_op,0.007042,0,0,218952,1
