backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,234997,215,load,1.132,848160,0.134297,0,1
EWAH,234997,215,OR,0.026429,0,0,100888,1
EWAH,234997,215,AND,0.01846,0,0,0,1
EWAH,234997,215,XOR,0.025567,0,0,100888,1
EWAH,234997,215,multi-OR,2.225,0,0,211073,1
EWAH,234997,215,OR_op,0.012179,0,0,0,1
EWAH,234997,215,AND_op,0.0153,0,0,0,1
EWAH,234997,215,XOR_op,0.013012,0,0,0,1
EWAH,234997,215,NOT_op,0.008037,0,0,0,1
EWAH,234997,215,COMP_op,0.054061,0,0,0,1
