backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),2963664,22,load,2.19585,2410663,0.295784,0,1
DDC (New),2963664,22,OR,0.211449,0,0,1040180,1
DDC (New),2963664,22,AND,0.201515,0,0,0,1
DDC (New),2963664,22,XOR,0.184522,0,0,1040180,1
DDC (New),2963664,22,multi-OR,0.899662,0,0,2963664,1
DDC (New),2963664,22,OR_op,0.032483,0,0,1040180,1
DDC (New),2963664,22,AND_op,0.036923,0,0,0,1
DDC (New),2963664,22,XOR_op,0.034812,0,0,1040180,1
DDC (New),2963664,22,NOT_op,0.015607,0,0,2343138,1
DDC (New),2963664,22,COMP_op,0.08322,0,0,2544010,1
