backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,2528312,132,load,8.43765,14726160,0.353,0,1
EWAH,2528312,132,OR,0.297583,0,0,324324,1
EWAH,2528312,132,AND,0.189795,0,0,0,1
EWAH,2528312,132,XOR,0.280308,0,0,324324,1
EWAH,2528312,132,multi-OR,25.1235,0,0,2456218,1
EWAH,2528312,132,OR_op,0.156258,0,0,0,1
EWAH,2528312,132,AND_op,0.177832,0,0,0,1
EWAH,2528312,132,XOR_op,0.165412,0,0,0,1
EWAH,2528312,132,NOT_op,0.139273,0,0,0,1
EWAH,2528312,132,COMP_op,0.622286,0,0,0,1
