backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,36244344,3,load,0.07726,12547,0.000923142,0,1
CRoaring,36244344,3,OR,0.785525,0,0,3313,1
CRoaring,36244344,3,AND,1.23342,0,0,0,1
CRoaring,36244344,3,XOR,0.190955,0,0,3313,1
CRoaring,36244344,3,multi-OR,0.062138,0,0,4844,1
CRoaring,36244344,3,OR_op,0.012061,0,0,3313,1
CRoaring,36244344,3,AND_op,0.000953,0,0,0,1
CRoaring,36244344,3,XOR_op,0.012989,0,0,3313,1
CRoaring,36244344,3,NOT_op,0.07999,0,0,36242603,1
CRoaring,36244344,3,OR_op_conv,0.177684,0,0,3313,1
CRoaring,36244344,3,AND_op_conv,0.162444,0,0,0,1
CRoaring,36244344,3,XOR_op_conv,0.1774,0,0,3313,1
CRoaring,36244344,3,NOT_op_conv,0.455259,0,0,36242603,1
CRoaring,36244344,3,COMP_op_native,0.144653,0,0,36242772,1
CRoaring,36244344,3,COMP_op,0.530178,0,0,0,1
