backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),234997,215,load,1.86862,592268,0.0937794,0,1
WAH (FastBit),234997,215,OR,0.022044,0,0,100888,1
WAH (FastBit),234997,215,AND,0.018217,0,0,0,1
WAH (FastBit),234997,215,XOR,0.014476,0,0,100888,1
WAH (FastBit),234997,215,multi-OR,0.475889,0,0,211073,1
WAH (FastBit),234997,215,OR_op,0.004403,0,0,0,1
WAH (FastBit),234997,215,AND_op,0.004608,0,0,0,1
WAH (FastBit),234997,215,XOR_op,0.004449,0,0,0,1
WAH (FastBit),234997,215,NOT_op,0.001616,0,0,0,1
WAH (FastBit),234997,215,COMP_op,0.037356,0,0,0,1
