backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,36244344,11,load,0.103555,8068,0.000161891,0,1
CRoaring,36244344,11,OR,1.23013,0,0,20122661,1
CRoaring,36244344,11,AND,0.914883,0,0,0,1
CRoaring,36244344,11,XOR,0.304946,0,0,20122661,1
CRoaring,36244344,11,multi-OR,0.309049,0,0,36244344,1
CRoaring,36244344,11,OR_op,0.015728,0,0,20122661,1
CRoaring,36244344,11,AND_op,0.000295,0,0,0,1
CRoaring,36244344,11,XOR_op,0.016662,0,0,20122661,1
CRoaring,36244344,11,NOT_op,0.039203,0,0,23573656,1
CRoaring,36244344,11,OR_op_conv,0.268776,0,0,20122661,1
CRoaring,36244344,11,AND_op_conv,0.162024,0,0,0,1
CRoaring,36244344,11,XOR_op_conv,0.269374,0,0,20122661,1
CRoaring,36244344,11,NOT_op_conv,0.311276,0,0,23573656,1
CRoaring,36244344,11,COMP_op_native,0.067892,0,0,28792371,1
CRoaring,36244344,11,COMP_op,0.374816,0,0,0,1
