backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,2528312,132,load,3.28712,4890838,0.117238,0,1
CRoaring,2528312,132,OR,0.338955,0,0,324324,1
CRoaring,2528312,132,AND,0.088408,0,0,0,1
CRoaring,2528312,132,XOR,0.314054,0,0,324324,1
CRoaring,2528312,132,multi-OR,3.27982,0,0,2456218,1
CRoaring,2528312,132,OR_op,0.08353,0,0,324324,1
CRoaring,2528312,132,AND_op,0.048948,0,0,0,1
CRoaring,2528312,132,XOR_op,0.164075,0,0,324324,1
CRoaring,2528312,132,NOT_op,0.057199,0,0,2364005,1
CRoaring,2528312,132,OR_op_conv,0.100758,0,0,324324,1
CRoaring,2528312,132,AND_op_conv,0.055204,0,0,0,1
CRoaring,2528312,132,XOR_op_conv,0.180866,0,0,324324,1
CRoaring,2528312,132,NOT_op_conv,0.072395,0,0,2364005,1
CRoaring,2528312,132,COMP_op_native,0.482917,0,0,2368295,1
CRoaring,2528312,132,COMP_op,0.508979,0,0,0,1
