group,case,num_rows,operation,backend,time_ms,latency_over_ddc,winner,source_operation,source_file,replicates,min_ms,max_ms,cf1,throughput_ops_s
cluster,iid,100000000,OR,DDC,1.42389,1.0,DDC,OR_op,raw/cluster_r1_iid_ddc.csv;raw/cluster_r2_iid_ddc.csv;raw/cluster_r3_iid_ddc.csv;raw/cluster_r4_iid_ddc.csv;raw/cluster_r5_iid_ddc.csv,5,1.41782,1.47112,1.0100931436180431,702.30144182486
cluster,iid,100000000,OR,CRoaring,3.51049,2.4654221885117527,DDC,OR_op_conv,raw/cluster_r1_iid_croaring.csv;raw/cluster_r2_iid_croaring.csv;raw/cluster_r3_iid_croaring.csv;raw/cluster_r4_iid_croaring.csv;raw/cluster_r5_iid_croaring.csv,5,3.50195,3.51722,1.0100931436180431,284.86051804733813
cluster,iid,100000000,OR,WAH,31.5182,22.135277303724305,DDC,OR_op,raw/cluster_r1_iid_wah.csv;raw/cluster_r2_iid_wah.csv;raw/cluster_r3_iid_wah.csv;raw/cluster_r4_iid_wah.csv;raw/cluster_r5_iid_wah.csv,5,31.4731,31.5595,1.0100931436180431,31.727700185924324
cluster,iid,100000000,OR,EWAH,19.945,14.007402257196834,DDC,OR_op,raw/cluster_r1_iid_ewah.csv;raw/cluster_r2_iid_ewah.csv;raw/cluster_r3_iid_ewah.csv;raw/cluster_r4_iid_ewah.csv;raw/cluster_r5_iid_ewah.csv,5,19.9163,19.9876,1.0100931436180431,50.137879167711205
cluster,iid,100000000,AND,DDC,1.57058,1.0,CRoaring,AND_op,raw/cluster_r1_iid_ddc.csv;raw/cluster_r2_iid_ddc.csv;raw/cluster_r3_iid_ddc.csv;raw/cluster_r4_iid_ddc.csv;raw/cluster_r5_iid_ddc.csv,5,1.55458,1.58842,1.0100931436180431,636.7074583911675
cluster,iid,100000000,AND,CRoaring,1.41287,0.899584866737129,CRoaring,AND_op_conv,raw/cluster_r1_iid_croaring.csv;raw/cluster_r2_iid_croaring.csv;raw/cluster_r3_iid_croaring.csv;raw/cluster_r4_iid_croaring.csv;raw/cluster_r5_iid_croaring.csv,5,1.40282,1.4242,1.0100931436180431,707.7792012003935
cluster,iid,100000000,AND,WAH,21.587,13.744603904290134,CRoaring,AND_op,raw/cluster_r1_iid_wah.csv;raw/cluster_r2_iid_wah.csv;raw/cluster_r3_iid_wah.csv;raw/cluster_r4_iid_wah.csv;raw/cluster_r5_iid_wah.csv,5,21.5395,21.6108,1.0100931436180431,46.32417658776115
cluster,iid,100000000,AND,EWAH,15.752,10.029415884577672,CRoaring,AND_op,raw/cluster_r1_iid_ewah.csv;raw/cluster_r2_iid_ewah.csv;raw/cluster_r3_iid_ewah.csv;raw/cluster_r4_iid_ewah.csv;raw/cluster_r5_iid_ewah.csv,5,15.7371,15.8416,1.0100931436180431,63.48400203148806
cluster,iid,100000000,NOT,DDC,0.26072,1.0,DDC,NOT_op,raw/cluster_r1_iid_ddc.csv;raw/cluster_r2_iid_ddc.csv;raw/cluster_r3_iid_ddc.csv;raw/cluster_r4_iid_ddc.csv;raw/cluster_r5_iid_ddc.csv,5,0.256615,0.261631,1.0100931436180431,3835.5323718932186
cluster,iid,100000000,NOT,CRoaring,3.02909,11.61817275237803,DDC,NOT_op_conv,raw/cluster_r1_iid_croaring.csv;raw/cluster_r2_iid_croaring.csv;raw/cluster_r3_iid_croaring.csv;raw/cluster_r4_iid_croaring.csv;raw/cluster_r5_iid_croaring.csv,5,3.02396,3.0332,1.0100931436180431,330.13215190040574
cluster,iid,100000000,NOT,WAH,0.672764,2.5804081006443695,DDC,NOT_op,raw/cluster_r1_iid_wah.csv;raw/cluster_r2_iid_wah.csv;raw/cluster_r3_iid_wah.csv;raw/cluster_r4_iid_wah.csv;raw/cluster_r5_iid_wah.csv,5,0.672153,0.67363,1.0100931436180431,1486.405336789721
cluster,iid,100000000,NOT,EWAH,6.77359,25.98032371893219,DDC,NOT_op,raw/cluster_r1_iid_ewah.csv;raw/cluster_r2_iid_ewah.csv;raw/cluster_r3_iid_ewah.csv;raw/cluster_r4_iid_ewah.csv;raw/cluster_r5_iid_ewah.csv,5,6.74304,6.85058,1.0100931436180431,147.63220094514134
cluster,iid,100000000,COMP,DDC,4.2658,1.0,DDC,COMP_op,raw/cluster_r1_iid_ddc.csv;raw/cluster_r2_iid_ddc.csv;raw/cluster_r3_iid_ddc.csv;raw/cluster_r4_iid_ddc.csv;raw/cluster_r5_iid_ddc.csv,5,4.23495,4.37328,1.0100931436180431,234.42261709409726
cluster,iid,100000000,COMP,CRoaring,8.85498,2.0758075859158893,DDC,COMP_op,raw/cluster_r1_iid_croaring.csv;raw/cluster_r2_iid_croaring.csv;raw/cluster_r3_iid_croaring.csv;raw/cluster_r4_iid_croaring.csv;raw/cluster_r5_iid_croaring.csv,5,8.81213,8.88509,1.0100931436180431,112.93080277990465
cluster,iid,100000000,COMP,WAH,93.0532,21.81377467298045,DDC,COMP_op,raw/cluster_r1_iid_wah.csv;raw/cluster_r2_iid_wah.csv;raw/cluster_r3_iid_wah.csv;raw/cluster_r4_iid_wah.csv;raw/cluster_r5_iid_wah.csv,5,92.9243,93.1557,1.0100931436180431,10.746540688552354
cluster,iid,100000000,COMP,EWAH,66.2637,15.533709972338134,DDC,COMP_op,raw/cluster_r1_iid_ewah.csv;raw/cluster_r2_iid_ewah.csv;raw/cluster_r3_iid_ewah.csv;raw/cluster_r4_iid_ewah.csv;raw/cluster_r5_iid_ewah.csv,5,66.2491,66.5035,1.0100931436180431,15.091218872474673
cluster,f2,100000000,OR,DDC,1.40521,1.0,DDC,OR_op,raw/cluster_r1_f2_ddc.csv;raw/cluster_r2_f2_ddc.csv;raw/cluster_r3_f2_ddc.csv;raw/cluster_r4_f2_ddc.csv;raw/cluster_r5_f2_ddc.csv,5,1.40206,1.49731,2.0000144401042577,711.6374065086356
cluster,f2,100000000,OR,CRoaring,10.4015,7.402096483799574,DDC,OR_op_conv,raw/cluster_r1_f2_croaring.csv;raw/cluster_r2_f2_croaring.csv;raw/cluster_r3_f2_croaring.csv;raw/cluster_r4_f2_croaring.csv;raw/cluster_r5_f2_croaring.csv,5,10.3504,10.418,2.0000144401042577,96.13997981060423
cluster,f2,100000000,OR,WAH,17.8953,12.734964880693987,DDC,OR_op,raw/cluster_r1_f2_wah.csv;raw/cluster_r2_f2_wah.csv;raw/cluster_r3_f2_wah.csv;raw/cluster_r4_f2_wah.csv;raw/cluster_r5_f2_wah.csv,5,17.8762,17.8992,2.0000144401042577,55.880594346001466
cluster,f2,100000000,OR,EWAH,13.6034,9.680688295699575,DDC,OR_op,raw/cluster_r1_f2_ewah.csv;raw/cluster_r2_f2_ewah.csv;raw/cluster_r3_f2_ewah.csv;raw/cluster_r4_f2_ewah.csv;raw/cluster_r5_f2_ewah.csv,5,13.5826,13.6129,2.0000144401042577,73.51103400620433
cluster,f2,100000000,AND,DDC,1.71449,1.0,DDC,AND_op,raw/cluster_r1_f2_ddc.csv;raw/cluster_r2_f2_ddc.csv;raw/cluster_r3_f2_ddc.csv;raw/cluster_r4_f2_ddc.csv;raw/cluster_r5_f2_ddc.csv,5,1.71292,1.73106,2.0000144401042577,583.2638277271958
