group,case,array_containers,run_containers,bitset_containers,container_payload_bytes,has_run_container,replicates_checked
earth,month,18,0,3990,32774754,0,5
earth,qflag,477,1540,455,5723082,1,5
earth,decade,12,6143,0,1017256,1,5
earth,temp_bin,35321,0,33,43608430,0,5
earth,year,360,57064,0,8018186,1,5
job,mc_ctype,0,41,0,246,1,5
job,kind,51,1,69,787238,1,5
job,role,0,564,0,3392,1,5
job,pi_itype,505,335,172,3690644,1,5
job,mi_itype,203,262,25,927330,1,5
job,year,3525,0,53,4860630,0,5
job,country,722,0,6,282832,0,5
job,movie_keyword_movie_id,0,3,0,18,1,5
job,cast_info_movie_id,492,116,0,7630,1,5
job,cast_info_person_id,3,10,0,84,1,5
cluster,iid,152600,0,0,200000000,0,5
cluster,f2,81071,71529,0,197038228,1,5
cluster,f4,0,152600,0,100309028,1,5
cluster,f8,0,152600,0,50310508,1,5
cluster,f16,0,152600,0,25311532,1,5
cluster,f32,0,152600,0,12810720,1,5
cluster,f64,3,152591,0,6562362,1,5
cluster,f128,126,151631,0,3433602,1,5
cluster,f256,355,140943,0,1850644,1,5
cluster,f1024,165,73054,0,542412,1,5
cluster,sorted,0,1625,0,9750,1,5
density,A66_B66,3052,0,0,402834,0,3
density,A66_B328,3052,0,0,1202374,0,3
density,A66_B655,3052,0,0,2200318,0,3
density,A66_B1311,3052,0,0,4202266,0,3
density,A66_B3277,3052,0,0,10202058,0,3
density,A66_B6554,1526,0,1526,12702404,0,3
density,A66_B13107,1526,0,1526,12702404,0,3
density,A66_B19661,1526,0,1526,12702404,0,3
density,A66_B26214,1526,0,1526,12702404,0,3
density,A66_B32768,1526,0,1526,12702404,0,3
density,A328_B328,3052,0,0,2001948,0,3
density,A328_B655,3052,0,0,2999892,0,3
density,A328_B1311,3052,0,0,5001840,0,3
density,A328_B3277,3052,0,0,11001632,0,3
density,A328_B6554,1526,0,1526,13501978,0,3
density,A328_B13107,1526,0,1526,13501978,0,3
density,A328_B19661,1526,0,1526,13501978,0,3
density,A328_B26214,1526,0,1526,13501978,0,3
density,A328_B32768,1526,0,1526,13501978,0,3
density,A655_B655,3052,0,0,3997812,0,3
density,A655_B1311,3052,0,0,5999760,0,3
density,A655_B3277,3052,0,0,11999552,0,3
density,A655_B6554,1526,0,1526,14499898,0,3
density,A655_B13107,1526,0,1526,14499898,0,3
density,A655_B19661,1526,0,1526,14499898,0,3
density,A655_B26214,1526,0,1526,14499898,0,3
density,A655_B32768,1526,0,1526,14499898,0,3
density,A1311_B1311,3052,0,0,8001672,0,3
density,A1311_B3277,3052,0,0,14001464,0,3
density,A1311_B6554,1526,0,1526,16501810,0,3
density,A1311_B13107,1526,0,1526,16501810,0,3
density,A1311_B19661,1526,0,1526,16501810,0,3
density,A1311_B26214,1526,0,1526,16501810,0,3
density,A1311_B32768,1526,0,1526,16501810,0,3
density,A3277_B3277,3052,0,0,20001312,0,3
density,A3277_B6554,1526,0,1526,22501658,0,3
density,A3277_B13107,1526,0,1526,22501658,0,3
density,A3277_B19661,1526,0,1526,22501658,0,3
density,A3277_B26214,1526,0,1526,22501658,0,3
density,A3277_B32768,1526,0,1526,22501658,0,3
density,A6554_B6554,0,0,3052,25001984,0,3
density,A6554_B13107,0,0,3052,25001984,0,3
density,A6554_B19661,0,0,3052,25001984,0,3
density,A6554_B26214,0,0,3052,25001984,0,3
density,A6554_B32768,0,0,3052,25001984,0,3
density,A13107_B13107,0,0,3052,25001984,0,3
density,A13107_B19661,0,0,3052,25001984,0,3
density,A13107_B26214,0,0,3052,25001984,0,3
density,A13107_B32768,0,0,3052,25001984,0,3
density,A19661_B19661,0,0,3052,25001984,0,3
density,A19661_B26214,0,0,3052,25001984,0,3
density,A19661_B32768,0,0,3052,25001984,0,3
density,A26214_B26214,0,0,3052,25001984,0,3
density,A26214_B32768,0,0,3052,25001984,0,3
density,A32768_B32768,0,0,3052,25001984,0,3
