backend,density_A,density_B,or_time_ms
DDC,0.1%,0.1%,1.39616
DDC,0.1%,0.5%,1.42714
DDC,0.1%,1%,1.40698
DDC,0.1%,2%,1.4178
DDC,0.1%,5%,1.44563
DDC,0.1%,10%,1.45806
DDC,0.1%,20%,1.48388
DDC,0.1%,30%,1.45836
DDC,0.1%,40%,1.46834
DDC,0.1%,50%,1.47167
DDC,0.5%,0.1%,1.42714
DDC,0.5%,0.5%,1.44006
DDC,0.5%,1%,1.4085
DDC,0.5%,2%,1.42922
DDC,0.5%,5%,1.4567
DDC,0.5%,10%,1.46407
DDC,0.5%,20%,1.49379
DDC,0.5%,30%,1.49748
DDC,0.5%,40%,1.46795
DDC,0.5%,50%,1.4519
DDC,1%,0.1%,1.40698
DDC,1%,0.5%,1.4085
DDC,1%,1%,1.45393
DDC,1%,2%,1.45012
DDC,1%,5%,1.43492
DDC,1%,10%,1.44536
DDC,1%,20%,1.46129
DDC,1%,30%,1.45946
DDC,1%,40%,1.46695
DDC,1%,50%,1.46253
DDC,2%,0.1%,1.4178
DDC,2%,0.5%,1.42922
DDC,2%,1%,1.45012
DDC,2%,2%,1.44184
DDC,2%,5%,1.44203
DDC,2%,10%,1.45378
DDC,2%,20%,1.45988
DDC,2%,30%,1.47806
DDC,2%,40%,1.47996
DDC,2%,50%,1.47467
DDC,5%,0.1%,1.44563
DDC,5%,0.5%,1.4567
DDC,5%,1%,1.43492
DDC,5%,2%,1.44203
DDC,5%,5%,1.47723
DDC,5%,10%,1.47782
DDC,5%,20%,1.49216
DDC,5%,30%,1.48758
DDC,5%,40%,1.53464
DDC,5%,50%,1.52566
DDC,10%,0.1%,1.45806
DDC,10%,0.5%,1.46407
DDC,10%,1%,1.44536
DDC,10%,2%,1.45378
DDC,10%,5%,1.47782
DDC,10%,10%,1.50473
DDC,10%,20%,1.51307
DDC,10%,30%,1.51222
DDC,10%,40%,1.51305
DDC,10%,50%,1.50555
DDC,20%,0.1%,1.48388
DDC,20%,0.5%,1.49379
DDC,20%,1%,1.46129
DDC,20%,2%,1.45988
DDC,20%,5%,1.49216
DDC,20%,10%,1.51307
DDC,20%,20%,1.55203
DDC,20%,30%,1.5495
DDC,20%,40%,1.55252
DDC,20%,50%,1.56008
DDC,30%,0.1%,1.45836
DDC,30%,0.5%,1.49748
DDC,30%,1%,1.45946
DDC,30%,2%,1.47806
DDC,30%,5%,1.48758
DDC,30%,10%,1.51222
DDC,30%,20%,1.5495
DDC,30%,30%,1.55528
DDC,30%,40%,1.55739
DDC,30%,50%,1.56074
DDC,40%,0.1%,1.46834
DDC,40%,0.5%,1.46795
DDC,40%,1%,1.46695
DDC,40%,2%,1.47996
DDC,40%,5%,1.53464
DDC,40%,10%,1.51305
DDC,40%,20%,1.55252
DDC,40%,30%,1.55739
DDC,40%,40%,1.55726
DDC,40%,50%,1.5529
DDC,50%,0.1%,1.47167
DDC,50%,0.5%,1.4519
DDC,50%,1%,1.46253
DDC,50%,2%,1.47467
DDC,50%,5%,1.52566
DDC,50%,10%,1.50555
DDC,50%,20%,1.56008
DDC,50%,30%,1.56074
DDC,50%,40%,1.5529
DDC,50%,50%,1.59241
CRoaring,0.1%,0.1%,1.4495
CRoaring,0.1%,0.5%,1.9096
CRoaring,0.1%,1%,2.54445
CRoaring,0.1%,2%,3.59687
CRoaring,0.1%,5%,7.35029
CRoaring,0.1%,10%,2.54558
CRoaring,0.1%,20%,2.54939
CRoaring,0.1%,30%,2.5507
CRoaring,0.1%,40%,2.55208
CRoaring,0.1%,50%,2.55649
CRoaring,0.5%,0.1%,1.9096
CRoaring,0.5%,0.5%,2.31436
CRoaring,0.5%,1%,2.94271
CRoaring,0.5%,2%,3.92068
CRoaring,0.5%,5%,7.70564
CRoaring,0.5%,10%,2.86188
CRoaring,0.5%,20%,2.86487
CRoaring,0.5%,30%,2.85949
CRoaring,0.5%,40%,2.85982
CRoaring,0.5%,50%,2.8376
CRoaring,1%,0.1%,2.54445
CRoaring,1%,0.5%,2.94271
CRoaring,1%,1%,3.60216
CRoaring,1%,2%,4.78458
CRoaring,1%,5%,8.627
CRoaring,1%,10%,3.06759
CRoaring,1%,20%,3.07457
CRoaring,1%,30%,3.07068
CRoaring,1%,40%,3.06757
CRoaring,1%,50%,3.07472
CRoaring,2%,0.1%,3.59687
CRoaring,2%,0.5%,3.92068
CRoaring,2%,1%,4.78458
CRoaring,2%,2%,5.99526
CRoaring,2%,5%,5.92833
CRoaring,2%,10%,3.6402
CRoaring,2%,20%,3.64328
CRoaring,2%,30%,3.65106
CRoaring,2%,40%,3.64522
CRoaring,2%,50%,3.63477
CRoaring,5%,0.1%,7.35029
CRoaring,5%,0.5%,7.70564
CRoaring,5%,1%,8.627
CRoaring,5%,2%,5.92833
CRoaring,5%,5%,7.38896
CRoaring,5%,10%,5.52375
CRoaring,5%,20%,5.53127
CRoaring,5%,30%,5.50585
CRoaring,5%,40%,5.58675
CRoaring,5%,50%,5.58528
CRoaring,10%,0.1%,2.54558
CRoaring,10%,0.5%,2.86188
CRoaring,10%,1%,3.06759
CRoaring,10%,2%,3.6402
CRoaring,10%,5%,5.52375
CRoaring,10%,10%,2.92459
CRoaring,10%,20%,2.93019
CRoaring,10%,30%,2.85039
CRoaring,10%,40%,2.84957
CRoaring,10%,50%,2.85239
CRoaring,20%,0.1%,2.54939
CRoaring,20%,0.5%,2.86487
CRoaring,20%,1%,3.07457
CRoaring,20%,2%,3.64328
CRoaring,20%,5%,5.53127
CRoaring,20%,10%,2.93019
CRoaring,20%,20%,2.83535
CRoaring,20%,30%,2.86049
CRoaring,20%,40%,2.84147
CRoaring,20%,50%,2.85583
CRoaring,30%,0.1%,2.5507
CRoaring,30%,0.5%,2.85949
CRoaring,30%,1%,3.07068
CRoaring,30%,2%,3.65106
CRoaring,30%,5%,5.50585
CRoaring,30%,10%,2.85039
CRoaring,30%,20%,2.86049
CRoaring,30%,30%,2.8601
CRoaring,30%,40%,2.86471
CRoaring,30%,50%,2.86249
CRoaring,40%,0.1%,2.55208
CRoaring,40%,0.5%,2.85982
CRoaring,40%,1%,3.06757
CRoaring,40%,2%,3.64522
CRoaring,40%,5%,5.58675
CRoaring,40%,10%,2.84957
CRoaring,40%,20%,2.84147
CRoaring,40%,30%,2.86471
CRoaring,40%,40%,2.83346
CRoaring,40%,50%,2.85844
CRoaring,50%,0.1%,2.55649
CRoaring,50%,0.5%,2.8376
CRoaring,50%,1%,3.07472
CRoaring,50%,2%,3.63477
CRoaring,50%,5%,5.58528
CRoaring,50%,10%,2.85239
CRoaring,50%,20%,2.85583
CRoaring,50%,30%,2.86249
CRoaring,50%,40%,2.85844
CRoaring,50%,50%,2.853
WAH,0.1%,0.1%,3.47091
WAH,0.1%,0.5%,8.47018
WAH,0.1%,1%,13.4059
WAH,0.1%,2%,16.4787
WAH,0.1%,5%,7.12387
WAH,0.1%,10%,6.20215
WAH,0.1%,20%,6.0351
WAH,0.1%,30%,1.46127
WAH,0.1%,40%,1.44683
WAH,0.1%,50%,1.44289
WAH,0.5%,0.1%,8.47018
WAH,0.5%,0.5%,17.4243
WAH,0.5%,1%,24.3382
WAH,0.5%,2%,26.4341
WAH,0.5%,5%,13.2164
WAH,0.5%,10%,11.8604
WAH,0.5%,20%,11.6713
WAH,0.5%,30%,3.32478
WAH,0.5%,40%,3.30353
WAH,0.5%,50%,3.30419
WAH,1%,0.1%,13.4059
WAH,1%,0.5%,24.3382
WAH,1%,1%,31.706
WAH,1%,2%,23.3966
WAH,1%,5%,18.663
WAH,1%,10%,17.1917
WAH,1%,20%,16.9884
WAH,1%,30%,5.94424
WAH,1%,40%,5.9384
WAH,1%,50%,5.9392
WAH,2%,0.1%,16.4787
WAH,2%,0.5%,26.4341
WAH,2%,1%,23.3966
WAH,2%,2%,25.2069
WAH,2%,5%,20.1853
WAH,2%,10%,18.7824
WAH,2%,20%,18.4966
WAH,2%,30%,7.46474
WAH,2%,40%,7.48106
WAH,2%,50%,7.45624
WAH,5%,0.1%,7.12387
WAH,5%,0.5%,13.2164
WAH,5%,1%,18.663
WAH,5%,2%,20.1853
WAH,5%,5%,15.2617
WAH,5%,10%,14.6324
WAH,5%,20%,15.1942
WAH,5%,30%,4.74935
WAH,5%,40%,4.81689
WAH,5%,50%,4.80439
WAH,10%,0.1%,6.20215
WAH,10%,0.5%,11.8604
WAH,10%,1%,17.1917
WAH,10%,2%,18.7824
WAH,10%,5%,14.6324
WAH,10%,10%,15.9861
WAH,10%,20%,16.0139
WAH,10%,30%,3.2371
WAH,10%,40%,3.2687
WAH,10%,50%,3.24868
WAH,20%,0.1%,6.0351
WAH,20%,0.5%,11.6713
WAH,20%,1%,16.9884
WAH,20%,2%,18.4966
WAH,20%,5%,15.1942
WAH,20%,10%,16.0139
WAH,20%,20%,16.1282
WAH,20%,30%,3.22973
WAH,20%,40%,3.22691
WAH,20%,50%,3.22886
WAH,30%,0.1%,1.46127
WAH,30%,0.5%,3.32478
WAH,30%,1%,5.94424
WAH,30%,2%,7.46474
WAH,30%,5%,4.74935
WAH,30%,10%,3.2371
WAH,30%,20%,3.22973
WAH,30%,30%,1.88483
WAH,30%,40%,1.87922
WAH,30%,50%,1.87604
WAH,40%,0.1%,1.44683
WAH,40%,0.5%,3.30353
WAH,40%,1%,5.9384
WAH,40%,2%,7.48106
WAH,40%,5%,4.81689
WAH,40%,10%,3.2687
WAH,40%,20%,3.22691
WAH,40%,30%,1.87922
WAH,40%,40%,1.8922
WAH,40%,50%,1.895
WAH,50%,0.1%,1.44289
WAH,50%,0.5%,3.30419
WAH,50%,1%,5.9392
WAH,50%,2%,7.45624
WAH,50%,5%,4.80439
WAH,50%,10%,3.24868
WAH,50%,20%,3.22886
WAH,50%,30%,1.87604
WAH,50%,40%,1.895
WAH,50%,50%,1.89243
EWAH,0.1%,0.1%,3.27269
EWAH,0.1%,0.5%,6.67692
EWAH,0.1%,1%,9.87536
EWAH,0.1%,2%,9.87134
EWAH,0.1%,5%,5.37286
EWAH,0.1%,10%,3.30779
EWAH,0.1%,20%,3.22589
EWAH,0.1%,30%,3.22557
EWAH,0.1%,40%,3.24676
EWAH,0.1%,50%,3.25375
EWAH,0.5%,0.1%,6.67692
EWAH,0.5%,0.5%,13.5068
EWAH,0.5%,1%,17.0276
EWAH,0.5%,2%,17.546
EWAH,0.5%,5%,11.5215
EWAH,0.5%,10%,9.54035
EWAH,0.5%,20%,9.46989
EWAH,0.5%,30%,9.48734
EWAH,0.5%,40%,9.40921
EWAH,0.5%,50%,9.47573
EWAH,1%,0.1%,9.87536
EWAH,1%,0.5%,17.0276
EWAH,1%,1%,20.0172
EWAH,1%,2%,20.7696
EWAH,1%,5%,15.2136
EWAH,1%,10%,13.16
EWAH,1%,20%,13.0652
EWAH,1%,30%,13.0271
EWAH,1%,40%,13.0607
EWAH,1%,50%,13.0272
EWAH,2%,0.1%,9.87134
EWAH,2%,0.5%,17.546
EWAH,2%,1%,20.7696
EWAH,2%,2%,19.1017
EWAH,2%,5%,12.2432
EWAH,2%,10%,10.2127
EWAH,2%,20%,10.2296
EWAH,2%,30%,10.2422
EWAH,2%,40%,10.2452
EWAH,2%,50%,10.2111
EWAH,5%,0.1%,5.37286
EWAH,5%,0.5%,11.5215
EWAH,5%,1%,15.2136
EWAH,5%,2%,12.2432
EWAH,5%,5%,7.72773
EWAH,5%,10%,6.33256
EWAH,5%,20%,6.22056
EWAH,5%,30%,6.21742
EWAH,5%,40%,6.24339
EWAH,5%,50%,6.24014
EWAH,10%,0.1%,3.30779
EWAH,10%,0.5%,9.54035
EWAH,10%,1%,13.16
EWAH,10%,2%,10.2127
EWAH,10%,5%,6.33256
EWAH,10%,10%,5.82473
EWAH,10%,20%,5.70813
EWAH,10%,30%,5.66039
EWAH,10%,40%,5.681
EWAH,10%,50%,5.6501
EWAH,20%,0.1%,3.22589
EWAH,20%,0.5%,9.46989
EWAH,20%,1%,13.0652
EWAH,20%,2%,10.2296
EWAH,20%,5%,6.22056
EWAH,20%,10%,5.70813
EWAH,20%,20%,5.63603
EWAH,20%,30%,5.66413
EWAH,20%,40%,5.6508
EWAH,20%,50%,5.6332
EWAH,30%,0.1%,3.22557
EWAH,30%,0.5%,9.48734
EWAH,30%,1%,13.0271
EWAH,30%,2%,10.2422
EWAH,30%,5%,6.21742
EWAH,30%,10%,5.66039
EWAH,30%,20%,5.66413
EWAH,30%,30%,5.59843
EWAH,30%,40%,5.61171
EWAH,30%,50%,5.62375
EWAH,40%,0.1%,3.24676
EWAH,40%,0.5%,9.40921
EWAH,40%,1%,13.0607
EWAH,40%,2%,10.2452
EWAH,40%,5%,6.24339
EWAH,40%,10%,5.681
EWAH,40%,20%,5.6508
EWAH,40%,30%,5.61171
EWAH,40%,40%,5.66818
EWAH,40%,50%,5.60259
EWAH,50%,0.1%,3.25375
EWAH,50%,0.5%,9.47573
EWAH,50%,1%,13.0272
EWAH,50%,2%,10.2111
EWAH,50%,5%,6.24014
EWAH,50%,10%,5.6501
EWAH,50%,20%,5.6332
EWAH,50%,30%,5.62375
EWAH,50%,40%,5.60259
EWAH,50%,50%,5.79421
Bitset-AVX512,0.1%,0.1%,1.74491
Bitset-AVX512,0.1%,0.5%,1.75764
Bitset-AVX512,0.1%,1%,1.80277
Bitset-AVX512,0.1%,2%,1.78932
Bitset-AVX512,0.1%,5%,1.80741
Bitset-AVX512,0.1%,10%,1.78837
Bitset-AVX512,0.1%,20%,1.79594
Bitset-AVX512,0.1%,30%,1.79264
Bitset-AVX512,0.1%,40%,1.79025
Bitset-AVX512,0.1%,50%,1.77429
Bitset-AVX512,0.5%,0.1%,1.75764
Bitset-AVX512,0.5%,0.5%,1.78515
Bitset-AVX512,0.5%,1%,1.75412
Bitset-AVX512,0.5%,2%,1.80293
Bitset-AVX512,0.5%,5%,1.772
Bitset-AVX512,0.5%,10%,1.75447
Bitset-AVX512,0.5%,20%,1.7747
Bitset-AVX512,0.5%,30%,1.75766
Bitset-AVX512,0.5%,40%,1.78915
Bitset-AVX512,0.5%,50%,1.7742
Bitset-AVX512,1%,0.1%,1.80277
Bitset-AVX512,1%,0.5%,1.75412
Bitset-AVX512,1%,1%,1.77102
Bitset-AVX512,1%,2%,1.77063
Bitset-AVX512,1%,5%,1.7671
Bitset-AVX512,1%,10%,1.63725
Bitset-AVX512,1%,20%,1.72384
Bitset-AVX512,1%,30%,1.74476
Bitset-AVX512,1%,40%,1.69608
Bitset-AVX512,1%,50%,1.75627
Bitset-AVX512,2%,0.1%,1.78932
Bitset-AVX512,2%,0.5%,1.80293
Bitset-AVX512,2%,1%,1.77063
Bitset-AVX512,2%,2%,1.54382
Bitset-AVX512,2%,5%,1.73719
Bitset-AVX512,2%,10%,1.75521
Bitset-AVX512,2%,20%,1.62175
Bitset-AVX512,2%,30%,1.71728
Bitset-AVX512,2%,40%,1.75056
Bitset-AVX512,2%,50%,1.7164
Bitset-AVX512,5%,0.1%,1.80741
Bitset-AVX512,5%,0.5%,1.772
Bitset-AVX512,5%,1%,1.7671
Bitset-AVX512,5%,2%,1.73719
Bitset-AVX512,5%,5%,1.73006
Bitset-AVX512,5%,10%,1.74791
Bitset-AVX512,5%,20%,1.73802
Bitset-AVX512,5%,30%,1.75533
Bitset-AVX512,5%,40%,1.78218
Bitset-AVX512,5%,50%,1.78505
Bitset-AVX512,10%,0.1%,1.78837
Bitset-AVX512,10%,0.5%,1.75447
Bitset-AVX512,10%,1%,1.63725
Bitset-AVX512,10%,2%,1.75521
Bitset-AVX512,10%,5%,1.74791
Bitset-AVX512,10%,10%,1.77021
Bitset-AVX512,10%,20%,1.74913
Bitset-AVX512,10%,30%,1.72526
Bitset-AVX512,10%,40%,1.77224
Bitset-AVX512,10%,50%,1.75598
Bitset-AVX512,20%,0.1%,1.79594
Bitset-AVX512,20%,0.5%,1.7747
Bitset-AVX512,20%,1%,1.72384
Bitset-AVX512,20%,2%,1.62175
Bitset-AVX512,20%,5%,1.73802
Bitset-AVX512,20%,10%,1.74913
Bitset-AVX512,20%,20%,1.75523
Bitset-AVX512,20%,30%,1.75268
Bitset-AVX512,20%,40%,1.7331
Bitset-AVX512,20%,50%,1.7723
Bitset-AVX512,30%,0.1%,1.79264
Bitset-AVX512,30%,0.5%,1.75766
Bitset-AVX512,30%,1%,1.74476
Bitset-AVX512,30%,2%,1.71728
Bitset-AVX512,30%,5%,1.75533
Bitset-AVX512,30%,10%,1.72526
Bitset-AVX512,30%,20%,1.75268
Bitset-AVX512,30%,30%,1.75163
Bitset-AVX512,30%,40%,1.71295
Bitset-AVX512,30%,50%,1.73301
Bitset-AVX512,40%,0.1%,1.79025
Bitset-AVX512,40%,0.5%,1.78915
Bitset-AVX512,40%,1%,1.69608
Bitset-AVX512,40%,2%,1.75056
Bitset-AVX512,40%,5%,1.78218
Bitset-AVX512,40%,10%,1.77224
Bitset-AVX512,40%,20%,1.7331
Bitset-AVX512,40%,30%,1.71295
Bitset-AVX512,40%,40%,1.76569
Bitset-AVX512,40%,50%,1.75032
Bitset-AVX512,50%,0.1%,1.77429
Bitset-AVX512,50%,0.5%,1.7742
Bitset-AVX512,50%,1%,1.75627
Bitset-AVX512,50%,2%,1.7164
Bitset-AVX512,50%,5%,1.78505
Bitset-AVX512,50%,10%,1.75598
Bitset-AVX512,50%,20%,1.7723
Bitset-AVX512,50%,30%,1.73301
Bitset-AVX512,50%,40%,1.75032
Bitset-AVX512,50%,50%,1.74499
Concise,0.1%,0.1%,3.94579
Concise,0.1%,0.5%,11.7343
Concise,0.1%,1%,23.4537
Concise,0.1%,2%,39.1538
