backend,case,or_time_ms,min_ms,max_ms,replicates,source_operation,source_files
DDC,A66_B66,1.39616,1.38279,1.42284,3,OR_op,raw/density_r1_A66_B66_ddc.csv;raw/density_r2_A66_B66_ddc.csv;raw/density_r3_A66_B66_ddc.csv
CRoaring,A66_B66,1.4495,1.44344,1.45464,3,OR_op_conv,raw/density_r1_A66_B66_croaring.csv;raw/density_r2_A66_B66_croaring.csv;raw/density_r3_A66_B66_croaring.csv
WAH,A66_B66,3.47091,3.45677,3.48453,3,OR_op,raw/density_r1_A66_B66_wah.csv;raw/density_r2_A66_B66_wah.csv;raw/density_r3_A66_B66_wah.csv
EWAH,A66_B66,3.27269,3.27011,3.2797,3,OR_op,raw/density_r1_A66_B66_ewah.csv;raw/density_r2_A66_B66_ewah.csv;raw/density_r3_A66_B66_ewah.csv
Bitset-AVX512,A66_B66,1.74491,1.70402,1.75362,3,OR_op,raw/density_r1_A66_B66_bitset_avx512.csv;raw/density_r2_A66_B66_bitset_avx512.csv;raw/density_r3_A66_B66_bitset_avx512.csv
Concise,A66_B66,3.94579,3.94209,3.95381,3,OR_op,raw/density_r1_A66_B66_concise.csv;raw/density_r2_A66_B66_concise.csv;raw/density_r3_A66_B66_concise.csv
DDC,A66_B328,1.42714,1.39275,1.42889,3,OR_op,raw/density_r1_A66_B328_ddc.csv;raw/density_r2_A66_B328_ddc.csv;raw/density_r3_A66_B328_ddc.csv
CRoaring,A66_B328,1.9096,1.90329,1.96427,3,OR_op_conv,raw/density_r1_A66_B328_croaring.csv;raw/density_r2_A66_B328_croaring.csv;raw/density_r3_A66_B328_croaring.csv
WAH,A66_B328,8.47018,8.4659,8.52986,3,OR_op,raw/density_r1_A66_B328_wah.csv;raw/density_r2_A66_B328_wah.csv;raw/density_r3_A66_B328_wah.csv
EWAH,A66_B328,6.67692,6.63679,6.6921,3,OR_op,raw/density_r1_A66_B328_ewah.csv;raw/density_r2_A66_B328_ewah.csv;raw/density_r3_A66_B328_ewah.csv
Bitset-AVX512,A66_B328,1.75764,1.72616,1.82763,3,OR_op,raw/density_r1_A66_B328_bitset_avx512.csv;raw/density_r2_A66_B328_bitset_avx512.csv;raw/density_r3_A66_B328_bitset_avx512.csv
Concise,A66_B328,11.7343,11.722,11.7579,3,OR_op,raw/density_r1_A66_B328_concise.csv;raw/density_r2_A66_B328_concise.csv;raw/density_r3_A66_B328_concise.csv
DDC,A66_B655,1.40698,1.4063,1.407,3,OR_op,raw/density_r1_A66_B655_ddc.csv;raw/density_r2_A66_B655_ddc.csv;raw/density_r3_A66_B655_ddc.csv
CRoaring,A66_B655,2.54445,2.4306,2.55053,3,OR_op_conv,raw/density_r1_A66_B655_croaring.csv;raw/density_r2_A66_B655_croaring.csv;raw/density_r3_A66_B655_croaring.csv
WAH,A66_B655,13.4059,13.3682,13.4083,3,OR_op,raw/density_r1_A66_B655_wah.csv;raw/density_r2_A66_B655_wah.csv;raw/density_r3_A66_B655_wah.csv
EWAH,A66_B655,9.87536,9.7766,9.88975,3,OR_op,raw/density_r1_A66_B655_ewah.csv;raw/density_r2_A66_B655_ewah.csv;raw/density_r3_A66_B655_ewah.csv
Bitset-AVX512,A66_B655,1.80277,1.75764,1.86817,3,OR_op,raw/density_r1_A66_B655_bitset_avx512.csv;raw/density_r2_A66_B655_bitset_avx512.csv;raw/density_r3_A66_B655_bitset_avx512.csv
Concise,A66_B655,23.4537,23.4305,23.4573,3,OR_op,raw/density_r1_A66_B655_concise.csv;raw/density_r2_A66_B655_concise.csv;raw/density_r3_A66_B655_concise.csv
DDC,A66_B1311,1.4178,1.40574,1.44016,3,OR_op,raw/density_r1_A66_B1311_ddc.csv;raw/density_r2_A66_B1311_ddc.csv;raw/density_r3_A66_B1311_ddc.csv
CRoaring,A66_B1311,3.59687,3.54279,3.60142,3,OR_op_conv,raw/density_r1_A66_B1311_croaring.csv;raw/density_r2_A66_B1311_croaring.csv;raw/density_r3_A66_B1311_croaring.csv
WAH,A66_B1311,16.4787,16.3721,16.525,3,OR_op,raw/density_r1_A66_B1311_wah.csv;raw/density_r2_A66_B1311_wah.csv;raw/density_r3_A66_B1311_wah.csv
EWAH,A66_B1311,9.87134,9.83418,9.90122,3,OR_op,raw/density_r1_A66_B1311_ewah.csv;raw/density_r2_A66_B1311_ewah.csv;raw/density_r3_A66_B1311_ewah.csv
Bitset-AVX512,A66_B1311,1.78932,1.75423,1.80922,3,OR_op,raw/density_r1_A66_B1311_bitset_avx512.csv;raw/density_r2_A66_B1311_bitset_avx512.csv;raw/density_r3_A66_B1311_bitset_avx512.csv
Concise,A66_B1311,39.1538,39.1263,39.1917,3,OR_op,raw/density_r1_A66_B1311_concise.csv;raw/density_r2_A66_B1311_concise.csv;raw/density_r3_A66_B1311_concise.csv
DDC,A66_B3277,1.44563,1.39092,1.44565,3,OR_op,raw/density_r1_A66_B3277_ddc.csv;raw/density_r2_A66_B3277_ddc.csv;raw/density_r3_A66_B3277_ddc.csv
