group,case,num_rows,operation,backend,time_ms,latency_over_ddc,winner,source_operation,source_file,replicates,min_ms,max_ms
job,mc_ctype,2609129,COMP,DDC,0.002911,1.0,EWAH,COMP_op,raw/job_r1_mc_ctype_ddc.csv;raw/job_r2_mc_ctype_ddc.csv;raw/job_r3_mc_ctype_ddc.csv;raw/job_r4_mc_ctype_ddc.csv;raw/job_r5_mc_ctype_ddc.csv,5,0.002875,0.002914
job,mc_ctype,2609129,COMP,CRoaring,0.013106,4.50223290965304,EWAH,COMP_op,raw/job_r1_mc_ctype_croaring.csv;raw/job_r2_mc_ctype_croaring.csv;raw/job_r3_mc_ctype_croaring.csv;raw/job_r4_mc_ctype_croaring.csv;raw/job_r5_mc_ctype_croaring.csv,5,0.013026,0.013287
job,mc_ctype,2609129,COMP,WAH,0.000784,0.26932325661284784,EWAH,COMP_op,raw/job_r1_mc_ctype_wah.csv;raw/job_r2_mc_ctype_wah.csv;raw/job_r3_mc_ctype_wah.csv;raw/job_r4_mc_ctype_wah.csv;raw/job_r5_mc_ctype_wah.csv,5,0.000779,0.000787
job,mc_ctype,2609129,COMP,EWAH,0.000242,0.0831329440054964,EWAH,COMP_op,raw/job_r1_mc_ctype_ewah.csv;raw/job_r2_mc_ctype_ewah.csv;raw/job_r3_mc_ctype_ewah.csv;raw/job_r4_mc_ctype_ewah.csv;raw/job_r5_mc_ctype_ewah.csv,5,0.000239,0.000245
job,kind,2528312,COMP,DDC,0.042664,1.0,DDC,COMP_op,raw/job_r1_kind_ddc.csv;raw/job_r2_kind_ddc.csv;raw/job_r3_kind_ddc.csv;raw/job_r4_kind_ddc.csv;raw/job_r5_kind_ddc.csv,5,0.041796,0.043485
job,kind,2528312,COMP,CRoaring,0.04974,1.1658541158822426,DDC,COMP_op,raw/job_r1_kind_croaring.csv;raw/job_r2_kind_croaring.csv;raw/job_r3_kind_croaring.csv;raw/job_r4_kind_croaring.csv;raw/job_r5_kind_croaring.csv,5,0.048852,0.050837
job,kind,2528312,COMP,WAH,0.400748,9.393118319894993,DDC,COMP_op,raw/job_r1_kind_wah.csv;raw/job_r2_kind_wah.csv;raw/job_r3_kind_wah.csv;raw/job_r4_kind_wah.csv;raw/job_r5_kind_wah.csv,5,0.395581,0.406825
job,kind,2528312,COMP,EWAH,0.219955,5.155517532345772,DDC,COMP_op,raw/job_r1_kind_ewah.csv;raw/job_r2_kind_ewah.csv;raw/job_r3_kind_ewah.csv;raw/job_r4_kind_ewah.csv;raw/job_r5_kind_ewah.csv,5,0.218603,0.22155
job,role,36244344,COMP,DDC,0.042648,1.0,EWAH,COMP_op,raw/job_r1_role_ddc.csv;raw/job_r2_role_ddc.csv;raw/job_r3_role_ddc.csv;raw/job_r4_role_ddc.csv;raw/job_r5_role_ddc.csv,5,0.042581,0.050412
job,role,36244344,COMP,CRoaring,0.377217,8.844893078221723,EWAH,COMP_op,raw/job_r1_role_croaring.csv;raw/job_r2_role_croaring.csv;raw/job_r3_role_croaring.csv;raw/job_r4_role_croaring.csv;raw/job_r5_role_croaring.csv,5,0.374816,0.377717
job,role,36244344,COMP,WAH,0.00112,0.026261489401613203,EWAH,COMP_op,raw/job_r1_role_wah.csv;raw/job_r2_role_wah.csv;raw/job_r3_role_wah.csv;raw/job_r4_role_wah.csv;raw/job_r5_role_wah.csv,5,0.001089,0.001202
job,role,36244344,COMP,EWAH,0.00034,0.007972237854061153,EWAH,COMP_op,raw/job_r1_role_ewah.csv;raw/job_r2_role_ewah.csv;raw/job_r3_role_ewah.csv;raw/job_r4_role_ewah.csv;raw/job_r5_role_ewah.csv,5,0.000328,0.000345
job,pi_itype,2963664,COMP,DDC,0.083232,1.0,DDC,COMP_op,raw/job_r1_pi_itype_ddc.csv;raw/job_r2_pi_itype_ddc.csv;raw/job_r3_pi_itype_ddc.csv;raw/job_r4_pi_itype_ddc.csv;raw/job_r5_pi_itype_ddc.csv,5,0.082849,0.087147
job,pi_itype,2963664,COMP,CRoaring,0.210457,2.5285587274125336,DDC,COMP_op,raw/job_r1_pi_itype_croaring.csv;raw/job_r2_pi_itype_croaring.csv;raw/job_r3_pi_itype_croaring.csv;raw/job_r4_pi_itype_croaring.csv;raw/job_r5_pi_itype_croaring.csv,5,0.208287,0.214764
job,pi_itype,2963664,COMP,WAH,1.01636,12.211168781237985,DDC,COMP_op,raw/job_r1_pi_itype_wah.csv;raw/job_r2_pi_itype_wah.csv;raw/job_r3_pi_itype_wah.csv;raw/job_r4_pi_itype_wah.csv;raw/job_r5_pi_itype_wah.csv,5,1.0117,1.02284
job,pi_itype,2963664,COMP,EWAH,0.897336,10.78114186851211,DDC,COMP_op,raw/job_r1_pi_itype_ewah.csv;raw/job_r2_pi_itype_ewah.csv;raw/job_r3_pi_itype_ewah.csv;raw/job_r4_pi_itype_ewah.csv;raw/job_r5_pi_itype_ewah.csv,5,0.893092,0.89782
