case=A66_B66 rows=100000000 reference=BitsetAVX
artifact,backend,cardinality,fnv1a64,exact
A,BitsetAVX,100706,56ac1b9d9db74e4d,REFERENCE
A,DDC,100706,56ac1b9d9db74e4d,PASS
A,CRoaring,100706,56ac1b9d9db74e4d,PASS
A,WAH,100706,56ac1b9d9db74e4d,PASS
A,EWAH,100706,56ac1b9d9db74e4d,PASS
A,Concise,100706,56ac1b9d9db74e4d,PASS
B,BitsetAVX,100711,3e377f2d50fe9427,REFERENCE
B,DDC,100711,3e377f2d50fe9427,PASS
B,CRoaring,100711,3e377f2d50fe9427,PASS
B,WAH,100711,3e377f2d50fe9427,PASS
B,EWAH,100711,3e377f2d50fe9427,PASS
B,Concise,100711,3e377f2d50fe9427,PASS
OR,BitsetAVX,201329,cddf31ed66a7e9b9,REFERENCE
OR,DDC,201329,cddf31ed66a7e9b9,PASS
OR,CRoaring,201329,cddf31ed66a7e9b9,PASS
OR,WAH,201329,cddf31ed66a7e9b9,PASS
OR,EWAH,201329,cddf31ed66a7e9b9,PASS
OR,Concise,201329,cddf31ed66a7e9b9,PASS
ALL_EXACT_MATCH
