case=A655_B1311 rows=100000000 reference=BitsetAVX
artifact,backend,cardinality,fnv1a64,exact
A,BitsetAVX,999453,755592524fb56e6a,REFERENCE
A,DDC,999453,755592524fb56e6a,PASS
A,CRoaring,999453,755592524fb56e6a,PASS
A,WAH,999453,755592524fb56e6a,PASS
A,EWAH,999453,755592524fb56e6a,PASS
A,Concise,999453,755592524fb56e6a,PASS
B,BitsetAVX,2000427,0afab756d7abbabc,REFERENCE
B,DDC,2000427,0afab756d7abbabc,PASS
B,CRoaring,2000427,0afab756d7abbabc,PASS
B,WAH,2000427,0afab756d7abbabc,PASS
B,EWAH,2000427,0afab756d7abbabc,PASS
B,Concise,2000427,0afab756d7abbabc,PASS
OR,BitsetAVX,2979808,a87a0fa0a0de6cbc,REFERENCE
OR,DDC,2979808,a87a0fa0a0de6cbc,PASS
OR,CRoaring,2979808,a87a0fa0a0de6cbc,PASS
OR,WAH,2979808,a87a0fa0a0de6cbc,PASS
OR,EWAH,2979808,a87a0fa0a0de6cbc,PASS
OR,Concise,2979808,a87a0fa0a0de6cbc,PASS
ALL_EXACT_MATCH
  [Breakdown] DDC   L1=5.40 MiB  L2=3.58 MiB  L3=0.71 MiB  L4=0.09 MiB  total=9.78 MiB
