backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,36244344,3,load,0.077319,12547,0.000923142,0,1
CRoaring,36244344,3,OR,0.774138,0,0,3313,1
CRoaring,36244344,3,AND,1.2335,0,0,0,1
CRoaring,36244344,3,XOR,0.193569,0,0,3313,1
CRoaring,36244344,3,multi-OR,0.063372,0,0,4844,1
CRoaring,36244344,3,OR_op,0.012196,0,0,3313,1
CRoaring,36244344,3,AND_op,0.000967,0,0,0,1
CRoaring,36244344,3,XOR_op,0.013272,0,0,3313,1
CRoaring,36244344,3,NOT_op,0.074198,0,0,36242603,1
CRoaring,36244344,3,OR_op_conv,0.181529,0,0,3313,1
CRoaring,36244344,3,AND_op_conv,0.165643,0,0,0,1
CRoaring,36244344,3,XOR_op_conv,0.180809,0,0,3313,1
CRoaring,36244344,3,NOT_op_conv,0.451671,0,0,36242603,1
CRoaring,36244344,3,COMP_op_native,0.133584,0,0,36242772,1
CRoaring,36244344,3,COMP_op,0.532684,0,0,0,1
