backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),36244344,3,load,0.395368,39829,0.00293041,0,1
DDC (New),36244344,3,OR,0.106929,0,0,3313,1
DDC (New),36244344,3,AND,0.012313,0,0,0,1
DDC (New),36244344,3,XOR,0.096152,0,0,3313,1
DDC (New),36244344,3,multi-OR,0.626543,0,0,4844,1
DDC (New),36244344,3,OR_op,0.032265,0,0,3313,1
DDC (New),36244344,3,AND_op,0.004852,0,0,0,1
DDC (New),36244344,3,XOR_op,0.030993,0,0,3313,1
DDC (New),36244344,3,NOT_op,0.01002,0,0,36242603,1
DDC (New),36244344,3,COMP_op,0.4135,0,0,36242772,1
