backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),14835720,71,load,1.58033,1377992,0.0104657,0,1
WAH (FastBit),14835720,71,OR,0.007284,0,0,4570628,1
WAH (FastBit),14835720,71,AND,0.001738,0,0,0,1
WAH (FastBit),14835720,71,XOR,0.001969,0,0,4570628,1
WAH (FastBit),14835720,71,multi-OR,3.97161,0,0,14835720,1
WAH (FastBit),14835720,71,OR_op,0.000404,0,0,0,1
WAH (FastBit),14835720,71,AND_op,0.0003,0,0,0,1
WAH (FastBit),14835720,71,XOR_op,0.000307,0,0,0,1
WAH (FastBit),14835720,71,NOT_op,0.000141,0,0,0,1
WAH (FastBit),14835720,71,COMP_op,0.001212,0,0,0,1
