backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,2963664,22,load,3.04714,5854216,0.718302,0,1
EWAH,2963664,22,OR,0.396842,0,0,1040180,1
EWAH,2963664,22,AND,0.2491,0,0,0,1
EWAH,2963664,22,XOR,0.397299,0,0,1040180,1
EWAH,2963664,22,multi-OR,6.77747,0,0,2963664,1
EWAH,2963664,22,OR_op,0.224317,0,0,0,1
EWAH,2963664,22,AND_op,0.237465,0,0,0,1
EWAH,2963664,22,XOR_op,0.238681,0,0,0,1
EWAH,2963664,22,NOT_op,0.162328,0,0,0,1
EWAH,2963664,22,COMP_op,0.900311,0,0,0,1
