backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,36244344,11,load,0.113568,8068,0.000161891,0,1
CRoaring,36244344,11,OR,1.15243,0,0,20122661,1
CRoaring,36244344,11,AND,1.00028,0,0,0,1
CRoaring,36244344,11,XOR,0.304185,0,0,20122661,1
CRoaring,36244344,11,multi-OR,0.311678,0,0,36244344,1
CRoaring,36244344,11,OR_op,0.015877,0,0,20122661,1
CRoaring,36244344,11,AND_op,0.000217,0,0,0,1
CRoaring,36244344,11,XOR_op,0.017061,0,0,20122661,1
CRoaring,36244344,11,NOT_op,0.039471,0,0,23573656,1
CRoaring,36244344,11,OR_op_conv,0.269588,0,0,20122661,1
CRoaring,36244344,11,AND_op_conv,0.165997,0,0,0,1
CRoaring,36244344,11,XOR_op_conv,0.269435,0,0,20122661,1
CRoaring,36244344,11,NOT_op_conv,0.31885,0,0,23573656,1
CRoaring,36244344,11,COMP_op_native,0.066276,0,0,28792371,1
CRoaring,36244344,11,COMP_op,0.386581,0,0,0,1
