backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),2528312,132,load,12.0741,10450892,0.250518,0,1
WAH (FastBit),2528312,132,OR,0.590885,0,0,324324,1
WAH (FastBit),2528312,132,AND,0.564889,0,0,0,1
WAH (FastBit),2528312,132,XOR,0.351581,0,0,324324,1
WAH (FastBit),2528312,132,multi-OR,7.01837,0,0,2456218,1
WAH (FastBit),2528312,132,OR_op,0.339403,0,0,0,1
WAH (FastBit),2528312,132,AND_op,0.308834,0,0,0,1
WAH (FastBit),2528312,132,XOR_op,0.15563,0,0,0,1
WAH (FastBit),2528312,132,NOT_op,0.018119,0,0,0,1
WAH (FastBit),2528312,132,COMP_op,0.800543,0,0,0,1
