backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),4523930,3,load,0.047926,84,4.95145e-05,0,1
WAH (FastBit),4523930,3,OR,0.006196,0,0,1043,1
WAH (FastBit),4523930,3,AND,0.001692,0,0,0,1
WAH (FastBit),4523930,3,XOR,0.002029,0,0,1043,1
WAH (FastBit),4523930,3,multi-OR,0.001537,0,0,1505,1
WAH (FastBit),4523930,3,OR_op,0.000413,0,0,0,1
WAH (FastBit),4523930,3,AND_op,0.000307,0,0,0,1
WAH (FastBit),4523930,3,XOR_op,0.000305,0,0,0,1
WAH (FastBit),4523930,3,NOT_op,0.000138,0,0,0,1
WAH (FastBit),4523930,3,COMP_op,0.001238,0,0,0,1
