backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),2963664,22,load,2.01329,2410663,0.295784,0,1
DDC (New),2963664,22,OR,0.175706,0,0,1040180,1
DDC (New),2963664,22,AND,0.172841,0,0,0,1
DDC (New),2963664,22,XOR,0.177364,0,0,1040180,1
DDC (New),2963664,22,multi-OR,0.856006,0,0,2963664,1
DDC (New),2963664,22,OR_op,0.032433,0,0,1040180,1
DDC (New),2963664,22,AND_op,0.036736,0,0,0,1
DDC (New),2963664,22,XOR_op,0.034532,0,0,1040180,1
DDC (New),2963664,22,NOT_op,0.016449,0,0,2343138,1
DDC (New),2963664,22,COMP_op,0.084952,0,0,2544010,1
