backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,2528312,132,load,8.63212,14726160,0.353,0,1
EWAH,2528312,132,OR,0.375221,0,0,324324,1
EWAH,2528312,132,AND,0.17773,0,0,0,1
EWAH,2528312,132,XOR,0.288811,0,0,324324,1
EWAH,2528312,132,multi-OR,24.5204,0,0,2456218,1
EWAH,2528312,132,OR_op,0.157974,0,0,0,1
EWAH,2528312,132,AND_op,0.171773,0,0,0,1
EWAH,2528312,132,XOR_op,0.164673,0,0,0,1
EWAH,2528312,132,NOT_op,0.139795,0,0,0,1
EWAH,2528312,132,COMP_op,0.630179,0,0,0,1
