backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,36244344,3,load,0.046604,52592,0.00386944,0,1
EWAH,36244344,3,OR,0.025688,0,0,3313,1
EWAH,36244344,3,AND,0.010082,0,0,0,1
EWAH,36244344,3,XOR,0.022998,0,0,3313,1
EWAH,36244344,3,multi-OR,0.055017,0,0,4844,1
EWAH,36244344,3,OR_op,0.013326,0,0,0,1
EWAH,36244344,3,AND_op,0.007608,0,0,0,1
EWAH,36244344,3,XOR_op,0.013693,0,0,0,1
EWAH,36244344,3,NOT_op,0.014391,0,0,0,1
EWAH,36244344,3,COMP_op,0.049009,0,0,0,1
