backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),36244344,3,load,0.0644,26716,0.00196562,0,1
WAH (FastBit),36244344,3,OR,0.045003,0,0,3313,1
WAH (FastBit),36244344,3,AND,0.008156,0,0,0,1
WAH (FastBit),36244344,3,XOR,0.011642,0,0,3313,1
WAH (FastBit),36244344,3,multi-OR,0.059634,0,0,4844,1
WAH (FastBit),36244344,3,OR_op,0.013535,0,0,0,1
WAH (FastBit),36244344,3,AND_op,0.003884,0,0,0,1
WAH (FastBit),36244344,3,XOR_op,0.011996,0,0,0,1
WAH (FastBit),36244344,3,NOT_op,0.000507,0,0,0,1
WAH (FastBit),36244344,3,COMP_op,0.043083,0,0,0,1
