backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,36244344,3,load,0.092291,203,1.49357e-05,0,1
CRoaring,36244344,3,OR,0.053491,0,0,18491,1
CRoaring,36244344,3,AND,1.55972,0,0,0,1
CRoaring,36244344,3,XOR,0.163162,0,0,18491,1
CRoaring,36244344,3,multi-OR,0.002674,0,0,26216,1
CRoaring,36244344,3,OR_op,0.000198,0,0,18491,1
CRoaring,36244344,3,AND_op,0.00014,0,0,0,1
CRoaring,36244344,3,XOR_op,0.000313,0,0,18491,1
CRoaring,36244344,3,NOT_op,0.034177,0,0,36234095,1
CRoaring,36244344,3,OR_op_conv,0.163458,0,0,18491,1
CRoaring,36244344,3,AND_op_conv,0.164544,0,0,0,1
CRoaring,36244344,3,XOR_op_conv,0.163515,0,0,18491,1
CRoaring,36244344,3,NOT_op_conv,0.382541,0,0,36234095,1
CRoaring,36244344,3,COMP_op_native,0.036244,0,0,36236102,1
CRoaring,36244344,3,COMP_op,0.385752,0,0,0,1
