backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),2528312,6,load,0.430209,530308,0.279664,0,1
DDC (New),2528312,6,OR,0.107863,0,0,2206089,1
DDC (New),2528312,6,AND,0.013215,0,0,0,1
DDC (New),2528312,6,XOR,0.084517,0,0,2206089,1
DDC (New),2528312,6,multi-OR,0.228546,0,0,2528312,1
DDC (New),2528312,6,OR_op,0.012544,0,0,2206089,1
DDC (New),2528312,6,AND_op,0.003876,0,0,0,1
DDC (New),2528312,6,XOR_op,0.011869,0,0,2206089,1
DDC (New),2528312,6,NOT_op,0.00736,0,0,985048,1
DDC (New),2528312,6,COMP_op,0.043072,0,0,1865487,1
