backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,2609129,2,load,0.028216,596,0.000913715,0,1
CRoaring,2609129,2,OR,0.147875,0,0,2609129,1
CRoaring,2609129,2,AND,0.007913,0,0,0,1
CRoaring,2609129,2,XOR,0.017807,0,0,2609129,1
CRoaring,2609129,2,OR_op,0.000841,0,0,2609129,1
CRoaring,2609129,2,AND_op,0.000102,0,0,0,1
CRoaring,2609129,2,XOR_op,0.000843,0,0,2609129,1
CRoaring,2609129,2,NOT_op,0.00259,0,0,1274246,1
CRoaring,2609129,2,OR_op_conv,0.015744,0,0,2609129,1
CRoaring,2609129,2,AND_op_conv,0.006856,0,0,0,1
CRoaring,2609129,2,XOR_op_conv,0.015742,0,0,2609129,1
CRoaring,2609129,2,NOT_op_conv,0.013617,0,0,1274246,1
CRoaring,2609129,2,COMP_op_native,0.005373,0,0,0,1
CRoaring,2609129,2,COMP_op,0.013221,0,0,0,1
