backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),14835720,71,load,2.54915,613126,0.00465664,0,1
DDC (New),14835720,71,OR,0.027618,0,0,4570628,1
DDC (New),14835720,71,AND,0.002963,0,0,0,1
DDC (New),14835720,71,XOR,0.007208,0,0,4570628,1
DDC (New),14835720,71,multi-OR,0.803193,0,0,14835720,1
DDC (New),14835720,71,OR_op,0.000354,0,0,4570628,1
DDC (New),14835720,71,AND_op,6.9e-05,0,0,0,1
DDC (New),14835720,71,XOR_op,0.000342,0,0,4570628,1
DDC (New),14835720,71,NOT_op,0.000344,0,0,11799001,1
DDC (New),14835720,71,COMP_op,0.022011,0,0,13301811,1
