backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),2963664,22,load,4.91981,4904476,0.601771,0,1
WAH (FastBit),2963664,22,OR,0.744703,0,0,1040180,1
WAH (FastBit),2963664,22,AND,0.588052,0,0,0,1
WAH (FastBit),2963664,22,XOR,0.436794,0,0,1040180,1
WAH (FastBit),2963664,22,multi-OR,2.61311,0,0,2963664,1
WAH (FastBit),2963664,22,OR_op,0.462065,0,0,0,1
WAH (FastBit),2963664,22,AND_op,0.407655,0,0,0,1
WAH (FastBit),2963664,22,XOR_op,0.24251,0,0,0,1
WAH (FastBit),2963664,22,NOT_op,0.021041,0,0,0,1
WAH (FastBit),2963664,22,COMP_op,1.07075,0,0,0,1
