backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),2528312,132,load,4.90363,4010490,0.0961353,0,1
DDC (New),2528312,132,OR,0.198631,0,0,324324,1
DDC (New),2528312,132,AND,0.160654,0,0,0,1
DDC (New),2528312,132,XOR,0.15914,0,0,324324,1
DDC (New),2528312,132,multi-OR,3.1666,0,0,2456218,1
DDC (New),2528312,132,OR_op,0.028038,0,0,324324,1
DDC (New),2528312,132,AND_op,0.03132,0,0,0,1
DDC (New),2528312,132,XOR_op,0.029806,0,0,324324,1
DDC (New),2528312,132,NOT_op,0.011479,0,0,2364005,1
DDC (New),2528312,132,COMP_op,0.076048,0,0,2368295,1
