backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,234997,215,load,1.11629,848160,0.134297,0,1
EWAH,234997,215,OR,0.025999,0,0,100888,1
EWAH,234997,215,AND,0.01659,0,0,0,1
EWAH,234997,215,XOR,0.025331,0,0,100888,1
EWAH,234997,215,multi-OR,2.41773,0,0,211073,1
EWAH,234997,215,OR_op,0.012135,0,0,0,1
EWAH,234997,215,AND_op,0.014083,0,0,0,1
EWAH,234997,215,XOR_op,0.01233,0,0,0,1
EWAH,234997,215,NOT_op,0.00802,0,0,0,1
EWAH,234997,215,COMP_op,0.054314,0,0,0,1
