backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,2528312,6,load,0.518377,788278,0.415707,0,1
CRoaring,2528312,6,OR,0.183243,0,0,2206089,1
CRoaring,2528312,6,AND,0.020205,0,0,0,1
CRoaring,2528312,6,XOR,0.128841,0,0,2206089,1
CRoaring,2528312,6,multi-OR,0.154524,0,0,2528312,1
CRoaring,2528312,6,OR_op,0.011829,0,0,2206089,1
CRoaring,2528312,6,AND_op,0.003726,0,0,0,1
CRoaring,2528312,6,XOR_op,0.01157,0,0,2206089,1
CRoaring,2528312,6,NOT_op,0.076109,0,0,985048,1
CRoaring,2528312,6,OR_op_conv,0.026649,0,0,2206089,1
CRoaring,2528312,6,AND_op_conv,0.009921,0,0,0,1
CRoaring,2528312,6,XOR_op_conv,0.026675,0,0,2206089,1
CRoaring,2528312,6,NOT_op_conv,0.125785,0,0,985048,1
CRoaring,2528312,6,COMP_op_native,0.035342,0,0,1865487,1
CRoaring,2528312,6,COMP_op,0.048811,0,0,0,1
