backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,2528312,6,load,0.444078,868592,0.458062,0,1
EWAH,2528312,6,OR,0.179381,0,0,2206089,1
EWAH,2528312,6,AND,0.018428,0,0,0,1
EWAH,2528312,6,XOR,0.156542,0,0,2206089,1
EWAH,2528312,6,multi-OR,0.788202,0,0,2528312,1
EWAH,2528312,6,OR_op,0.082275,0,0,0,1
EWAH,2528312,6,AND_op,0.012486,0,0,0,1
EWAH,2528312,6,XOR_op,0.063343,0,0,0,1
EWAH,2528312,6,NOT_op,0.085499,0,0,0,1
EWAH,2528312,6,COMP_op,0.218348,0,0,0,1
