backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,14835720,71,load,0.844005,931950,0.00707808,0,1
CRoaring,14835720,71,OR,0.309517,0,0,4570628,1
CRoaring,14835720,71,AND,0.424905,0,0,0,1
CRoaring,14835720,71,XOR,0.064078,0,0,4570628,1
CRoaring,14835720,71,multi-OR,1.71131,0,0,14835720,1
CRoaring,14835720,71,OR_op,0.00139,0,0,4570628,1
CRoaring,14835720,71,AND_op,8.7e-05,0,0,0,1
CRoaring,14835720,71,XOR_op,0.001498,0,0,4570628,1
CRoaring,14835720,71,NOT_op,0.01614,0,0,11799001,1
CRoaring,14835720,71,OR_op_conv,0.060152,0,0,4570628,1
CRoaring,14835720,71,AND_op_conv,0.043839,0,0,0,1
CRoaring,14835720,71,XOR_op_conv,0.060105,0,0,4570628,1
CRoaring,14835720,71,NOT_op_conv,0.107338,0,0,11799001,1
CRoaring,14835720,71,COMP_op_native,0.019984,0,0,13301811,1
CRoaring,14835720,71,COMP_op,0.114416,0,0,0,1
