backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,234997,215,load,1.14445,291236,0.0461142,0,1
CRoaring,234997,215,OR,0.027877,0,0,100888,1
CRoaring,234997,215,AND,0.011654,0,0,0,1
CRoaring,234997,215,XOR,0.022783,0,0,100888,1
CRoaring,234997,215,multi-OR,0.42171,0,0,211073,1
CRoaring,234997,215,OR_op,0.005786,0,0,100888,1
CRoaring,234997,215,AND_op,0.006557,0,0,0,1
CRoaring,234997,215,XOR_op,0.011796,0,0,100888,1
CRoaring,234997,215,NOT_op,0.001575,0,0,150154,1
CRoaring,234997,215,OR_op_conv,0.006898,0,0,100888,1
CRoaring,234997,215,AND_op_conv,0.006999,0,0,0,1
CRoaring,234997,215,XOR_op_conv,0.013091,0,0,100888,1
CRoaring,234997,215,NOT_op_conv,0.002899,0,0,150154,1
CRoaring,234997,215,COMP_op_native,0.030195,0,0,218952,1
CRoaring,234997,215,COMP_op,0.03115,0,0,0,1
