backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),234997,215,load,1.20201,275748,0.0436618,0,1
DDC (New),234997,215,OR,0.025181,0,0,100888,1
DDC (New),234997,215,AND,0.01621,0,0,0,1
DDC (New),234997,215,XOR,0.019084,0,0,100888,1
DDC (New),234997,215,multi-OR,0.456488,0,0,211073,1
DDC (New),234997,215,OR_op,0.002898,0,0,100888,1
DDC (New),234997,215,AND_op,0.003119,0,0,0,1
DDC (New),234997,215,XOR_op,0.002879,0,0,100888,1
DDC (New),234997,215,NOT_op,0.0015,0,0,150154,1
DDC (New),234997,215,COMP_op,0.007176,0,0,218952,1
