backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,14835720,71,load,0.96132,1455192,0.0110521,0,1
EWAH,14835720,71,OR,0.001948,0,0,4570628,1
EWAH,14835720,71,AND,0.001097,0,0,0,1
EWAH,14835720,71,XOR,0.001285,0,0,4570628,1
EWAH,14835720,71,multi-OR,1.69757,0,0,14835720,1
EWAH,14835720,71,OR_op,0.0001,0,0,0,1
EWAH,14835720,71,AND_op,0.0001,0,0,0,1
EWAH,14835720,71,XOR_op,0.000117,0,0,0,1
EWAH,14835720,71,NOT_op,9.2e-05,0,0,0,1
EWAH,14835720,71,COMP_op,0.000355,0,0,0,1
