group,case,num_rows,operation,backend,time_ms,latency_over_ddc,winner,source_operation,source_file,replicates,min_ms,max_ms,paired_ratio_median,paired_ratio_min,paired_ratio_max,expected_result_cardinality
job,mc_ctype,2609129,COMP,DDC,0.00298,1.0,EWAH,COMP_op,raw/r1_mc_ctype_ddc.csv;raw/r2_mc_ctype_ddc.csv;raw/r3_mc_ctype_ddc.csv;raw/r4_mc_ctype_ddc.csv;raw/r5_mc_ctype_ddc.csv,5,0.002952,0.003015,1.0,1.0,1.0,0
job,mc_ctype,2609129,COMP,CRoaring,0.00527,1.7684563758389262,EWAH,COMP_op_native,raw/r1_mc_ctype_croaring.csv;raw/r2_mc_ctype_croaring.csv;raw/r3_mc_ctype_croaring.csv;raw/r4_mc_ctype_croaring.csv;raw/r5_mc_ctype_croaring.csv,5,0.005212,0.005441,1.7613636363636365,1.731011608623549,1.8431571815718155,0
job,mc_ctype,2609129,COMP,WAH,0.000777,0.2607382550335571,EWAH,COMP_op,raw/r1_mc_ctype_wah.csv;raw/r2_mc_ctype_wah.csv;raw/r3_mc_ctype_wah.csv;raw/r4_mc_ctype_wah.csv;raw/r5_mc_ctype_wah.csv,5,0.000773,0.000778,0.2610738255033557,0.25638474295190716,0.2632113821138211,0
job,mc_ctype,2609129,COMP,EWAH,0.000241,0.08087248322147651,EWAH,COMP_op,raw/r1_mc_ctype_ewah.csv;raw/r2_mc_ctype_ewah.csv;raw/r3_mc_ctype_ewah.csv;raw/r4_mc_ctype_ewah.csv;raw/r5_mc_ctype_ewah.csv,5,0.000238,0.000244,0.08054812834224599,0.07893864013266999,0.08265582655826557,0
job,kind,2528312,COMP,DDC,0.042987,1.0,CRoaring,COMP_op,raw/r1_kind_ddc.csv;raw/r2_kind_ddc.csv;raw/r3_kind_ddc.csv;raw/r4_kind_ddc.csv;raw/r5_kind_ddc.csv,5,0.042665,0.044123,1.0,1.0,1.0,1865487
job,kind,2528312,COMP,CRoaring,0.034179,0.7951008444413428,CRoaring,COMP_op_native,raw/r1_kind_croaring.csv;raw/r2_kind_croaring.csv;raw/r3_kind_croaring.csv;raw/r4_kind_croaring.csv;raw/r5_kind_croaring.csv,5,0.034136,0.035342,0.794100542024333,0.7746300115585976,0.8283604828313605,1865487
job,kind,2528312,COMP,WAH,0.383655,8.924907530183544,CRoaring,COMP_op,raw/r1_kind_wah.csv;raw/r2_kind_wah.csv;raw/r3_kind_wah.csv;raw/r4_kind_wah.csv;raw/r5_kind_wah.csv,5,0.380394,0.387118,8.907294762258545,8.707726129229654,9.005466769023194,1865487
job,kind,2528312,COMP,EWAH,0.218348,5.079396096494289,CRoaring,COMP_op,raw/r1_kind_ewah.csv;raw/r2_kind_ewah.csv;raw/r3_kind_ewah.csv;raw/r4_kind_ewah.csv;raw/r5_kind_ewah.csv,5,0.210302,0.221644,5.065541419019317,4.892223230278922,5.171348576761549,1865487
job,role,36244344,COMP,DDC,0.043819,1.0,EWAH,COMP_op,raw/r1_role_ddc.csv;raw/r2_role_ddc.csv;raw/r3_role_ddc.csv;raw/r4_role_ddc.csv;raw/r5_role_ddc.csv,5,0.04376,0.04387,1.0,1.0,1.0,28792371
job,role,36244344,COMP,CRoaring,0.066276,1.5124945799767227,EWAH,COMP_op_native,raw/r1_role_croaring.csv;raw/r2_role_croaring.csv;raw/r3_role_croaring.csv;raw/r4_role_croaring.csv;raw/r5_role_croaring.csv,5,0.065923,0.066374,1.513315093479252,1.502689765215409,1.516521937842779,28792371
job,role,36244344,COMP,WAH,0.001176,0.0268376731554805,EWAH,COMP_op,raw/r1_role_wah.csv;raw/r2_role_wah.csv;raw/r3_role_wah.csv;raw/r4_role_wah.csv;raw/r5_role_wah.csv,5,0.001085,0.001179,0.026812585499316,0.024794332723948813,0.026906136607407746,28792371
job,role,36244344,COMP,EWAH,0.000323,0.007371231657500171,EWAH,COMP_op,raw/r1_role_ewah.csv;raw/r2_role_ewah.csv;raw/r3_role_ewah.csv;raw/r4_role_ewah.csv;raw/r5_role_ewah.csv,5,0.000318,0.000335,0.007364341085271317,0.007266910420475319,0.007645085465209157,28792371
job,pi_itype,2963664,COMP,DDC,0.084755,1.0,DDC,COMP_op,raw/r1_pi_itype_ddc.csv;raw/r2_pi_itype_ddc.csv;raw/r3_pi_itype_ddc.csv;raw/r4_pi_itype_ddc.csv;raw/r5_pi_itype_ddc.csv,5,0.084288,0.085697,1.0,1.0,1.0,2544010
job,pi_itype,2963664,COMP,CRoaring,0.178393,2.1048079759306235,DDC,COMP_op_native,raw/r1_pi_itype_croaring.csv;raw/r2_pi_itype_croaring.csv;raw/r3_pi_itype_croaring.csv;raw/r4_pi_itype_croaring.csv;raw/r5_pi_itype_croaring.csv,5,0.173697,0.180594,2.0999270176099443,2.060755979498861,2.126092855878709,2544010
job,pi_itype,2963664,COMP,WAH,1.0693,12.61636481623503,DDC,COMP_op,raw/r1_pi_itype_wah.csv;raw/r2_pi_itype_wah.csv;raw/r3_pi_itype_wah.csv;raw/r4_pi_itype_wah.csv;raw/r5_pi_itype_wah.csv,5,1.06803,1.07361,12.61636481623503,12.494603078287456,12.737400341685648,2544010
job,pi_itype,2963664,COMP,EWAH,0.896248,10.574573771458912,DDC,COMP_op,raw/r1_pi_itype_ewah.csv;raw/r2_pi_itype_ewah.csv;raw/r3_pi_itype_ewah.csv;raw/r4_pi_itype_ewah.csv;raw/r5_pi_itype_ewah.csv,5,0.894969,0.900311,10.600052042674994,10.45833576437915,10.650816249050873,2544010
