case,num_rows,cardinality,winner,ddc_time_ms,ddc_ratio_to_ddc,ddc_min_ms,ddc_max_ms,ddc_paired_ratio_median,croaring_time_ms,croaring_ratio_to_ddc,croaring_min_ms,croaring_max_ms,croaring_paired_ratio_median,wah_time_ms,wah_ratio_to_ddc,wah_min_ms,wah_max_ms,wah_paired_ratio_median,ewah_time_ms,ewah_ratio_to_ddc,ewah_min_ms,ewah_max_ms,ewah_paired_ratio_median
mc_ctype,2609129,2,EWAH,0.00298,1.0,0.002952,0.003015,1.0,0.00527,1.7684563758389262,0.005212,0.005441,1.7613636363636365,0.000777,0.2607382550335571,0.000773,0.000778,0.2610738255033557,0.000241,0.08087248322147651,0.000238,0.000244,0.08054812834224599
kind,2528312,6,CRoaring,0.042987,1.0,0.042665,0.044123,1.0,0.034179,0.7951008444413428,0.034136,0.035342,0.794100542024333,0.383655,8.924907530183544,0.380394,0.387118,8.907294762258545,0.218348,5.079396096494289,0.210302,0.221644,5.065541419019317
role,36244344,11,EWAH,0.043819,1.0,0.04376,0.04387,1.0,0.066276,1.5124945799767227,0.065923,0.066374,1.513315093479252,0.001176,0.0268376731554805,0.001085,0.001179,0.026812585499316,0.000323,0.007371231657500171,0.000318,0.000335,0.007364341085271317
pi_itype,2963664,22,DDC,0.084755,1.0,0.084288,0.085697,1.0,0.178393,2.1048079759306235,0.173697,0.180594,2.0999270176099443,1.0693,12.61636481623503,1.06803,1.07361,12.61636481623503,0.896248,10.574573771458912,0.894969,0.900311,10.600052042674994
mi_itype,14835720,71,EWAH,0.021904,1.0,0.02187,0.02202,1.0,0.019831,0.9053597516435355,0.019771,0.019984,0.9055784179240969,0.001215,0.05546932067202337,0.001206,0.00123,0.05546932067202337,0.00035,0.01597881665449233,0.000338,0.000355,0.016
year,2528312,132,DDC,0.07698,1.0,0.076048,0.079345,1.0,0.476434,6.189062094050403,0.472678,0.482224,6.200558586645881,0.787322,10.227617563003376,0.770552,0.800543,10.095412890809213,0.626418,8.137412314886983,0.622603,0.630179,8.169035758065778
country,234997,215,DDC,0.007166,1.0,0.007137,0.00728,1.0,0.029923,4.175690761931343,0.029872,0.030195,4.192657979543226,0.042242,5.89478090985208,0.042032,0.042619,5.893952062430323,0.057319,7.998744069215742,0.054314,0.057696,8.022253324002799
movie_keyword_movie_id,4523930,3,EWAH,0.0051,1.0,0.005038,0.005156,1.0,0.002585,0.5068627450980392,0.00258,0.0026,0.5098039215686274,0.001232,0.24156862745098037,0.001197,0.001325,0.24274509803921565,0.000346,0.06784313725490196,0.000345,0.000351,0.06826276216857934
cast_info_movie_id,36244344,3,WAH,0.39897,1.0,0.397292,0.4135,1.0,0.133991,0.33584229390681003,0.133584,0.134672,0.3371030403288468,0.042761,0.10717848459783944,0.042504,0.043083,0.10698428359997182,0.04881,0.12234002556583201,0.048178,0.049186,0.12234002556583201
cast_info_person_id,36244344,3,EWAH,0.04911,1.0,0.049055,0.049254,1.0,0.036427,0.7417430258603136,0.036244,0.036692,0.7398448289869202,0.002162,0.04402362044390144,0.00212,0.002227,0.04403707098482534,0.000812,0.016534310731012015,0.000806,0.000861,0.01649199772524169
