backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,36244344,3,load,0.075281,12547,0.000923142,0,1
CRoaring,36244344,3,OR,0.773085,0,0,3313,1
CRoaring,36244344,3,AND,1.19004,0,0,0,1
CRoaring,36244344,3,XOR,0.190976,0,0,3313,1
CRoaring,36244344,3,multi-OR,0.063211,0,0,4844,1
CRoaring,36244344,3,OR_op,0.011928,0,0,3313,1
CRoaring,36244344,3,AND_op,0.000971,0,0,0,1
CRoaring,36244344,3,XOR_op,0.01305,0,0,3313,1
CRoaring,36244344,3,NOT_op,0.075875,0,0,36242603,1
CRoaring,36244344,3,OR_op_conv,0.180638,0,0,3313,1
CRoaring,36244344,3,AND_op_conv,0.164833,0,0,0,1
CRoaring,36244344,3,XOR_op_conv,0.180293,0,0,3313,1
CRoaring,36244344,3,NOT_op_conv,0.452244,0,0,36242603,1
CRoaring,36244344,3,COMP_op_native,0.142269,0,0,36242772,1
CRoaring,36244344,3,COMP_op,0.537358,0,0,36242772,1
