backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),36244344,3,load,0.393558,39829,0.00293041,0,1
DDC (New),36244344,3,OR,0.104236,0,0,3313,1
DDC (New),36244344,3,AND,0.012112,0,0,0,1
DDC (New),36244344,3,XOR,0.086799,0,0,3313,1
DDC (New),36244344,3,multi-OR,0.61847,0,0,4844,1
DDC (New),36244344,3,OR_op,0.032363,0,0,3313,1
DDC (New),36244344,3,AND_op,0.005022,0,0,0,1
DDC (New),36244344,3,XOR_op,0.031269,0,0,3313,1
DDC (New),36244344,3,NOT_op,0.009955,0,0,36242603,1
DDC (New),36244344,3,COMP_op,0.375894,0,0,36242772,1
