backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,36244344,3,load,0.026797,203,1.49357e-05,0,1
CRoaring,36244344,3,OR,0.057942,0,0,18491,1
CRoaring,36244344,3,AND,1.49897,0,0,0,1
CRoaring,36244344,3,XOR,0.16864,0,0,18491,1
CRoaring,36244344,3,multi-OR,0.002724,0,0,26216,1
CRoaring,36244344,3,OR_op,0.000196,0,0,18491,1
CRoaring,36244344,3,AND_op,0.000137,0,0,0,1
CRoaring,36244344,3,XOR_op,0.000336,0,0,18491,1
CRoaring,36244344,3,NOT_op,0.034806,0,0,36234095,1
CRoaring,36244344,3,OR_op_conv,0.164728,0,0,18491,1
CRoaring,36244344,3,AND_op_conv,0.164224,0,0,0,1
CRoaring,36244344,3,XOR_op_conv,0.164796,0,0,18491,1
CRoaring,36244344,3,NOT_op_conv,0.385633,0,0,36234095,1
CRoaring,36244344,3,COMP_op_native,0.037283,0,0,36236102,1
CRoaring,36244344,3,COMP_op,0.390345,0,0,36236102,1
