backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,234997,215,load,1.10747,848160,0.134297,0,1
EWAH,234997,215,OR,0.029461,0,0,100888,1
EWAH,234997,215,AND,0.018136,0,0,0,1
EWAH,234997,215,XOR,0.024136,0,0,100888,1
EWAH,234997,215,multi-OR,2.24734,0,0,211073,1
EWAH,234997,215,OR_op,0.012236,0,0,0,1
EWAH,234997,215,AND_op,0.014137,0,0,0,1
EWAH,234997,215,XOR_op,0.012346,0,0,0,1
EWAH,234997,215,NOT_op,0.008719,0,0,0,1
EWAH,234997,215,COMP_op,0.056105,0,0,0,1
EWAH,234997,215,COMP_op_conv,0.055629,0,0,218952,1
