backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,2528312,6,load,0.454434,868592,0.458062,0,1
EWAH,2528312,6,OR,0.179977,0,0,2206089,1
EWAH,2528312,6,AND,0.018679,0,0,0,1
EWAH,2528312,6,XOR,0.163257,0,0,2206089,1
EWAH,2528312,6,multi-OR,0.822436,0,0,2528312,1
EWAH,2528312,6,OR_op,0.081328,0,0,0,1
EWAH,2528312,6,AND_op,0.012561,0,0,0,1
EWAH,2528312,6,XOR_op,0.073326,0,0,0,1
EWAH,2528312,6,NOT_op,0.087562,0,0,0,1
EWAH,2528312,6,COMP_op,0.329467,0,0,0,1
EWAH,2528312,6,COMP_op_conv,0.342598,0,0,1865487,1
