backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),36244344,3,load,0.188122,953,7.01167e-05,0,1
DDC (New),36244344,3,OR,0.020261,0,0,18491,1
DDC (New),36244344,3,AND,0.002648,0,0,0,1
DDC (New),36244344,3,XOR,0.00685,0,0,18491,1
DDC (New),36244344,3,multi-OR,0.010183,0,0,26216,1
DDC (New),36244344,3,OR_op,0.000885,0,0,18491,1
DDC (New),36244344,3,AND_op,8.4e-05,0,0,0,1
DDC (New),36244344,3,XOR_op,0.000851,0,0,18491,1
DDC (New),36244344,3,NOT_op,0.000295,0,0,36234095,1
DDC (New),36244344,3,COMP_op,0.046668,0,0,36236102,1
