backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),2609129,2,load,0.045427,40,6.13231e-05,0,1
WAH (FastBit),2609129,2,OR,0.006058,0,0,2609129,1
WAH (FastBit),2609129,2,AND,0.001615,0,0,0,1
WAH (FastBit),2609129,2,XOR,0.00169,0,0,2609129,1
WAH (FastBit),2609129,2,OR_op,0.000373,0,0,0,1
WAH (FastBit),2609129,2,AND_op,0.000298,0,0,0,1
WAH (FastBit),2609129,2,XOR_op,0.0003,0,0,0,1
WAH (FastBit),2609129,2,NOT_op,0.000137,0,0,0,1
WAH (FastBit),2609129,2,COMP_op,0.000782,0,0,0,1
WAH (FastBit),2609129,2,COMP_op_conv,0.007571,0,0,0,1
