backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,14835720,71,load,0.886317,931950,0.00707808,0,1
CRoaring,14835720,71,OR,0.34651,0,0,4570628,1
CRoaring,14835720,71,AND,0.45469,0,0,0,1
CRoaring,14835720,71,XOR,0.06849,0,0,4570628,1
CRoaring,14835720,71,multi-OR,1.72646,0,0,14835720,1
CRoaring,14835720,71,OR_op,0.00136,0,0,4570628,1
CRoaring,14835720,71,AND_op,9.8e-05,0,0,0,1
CRoaring,14835720,71,XOR_op,0.001493,0,0,4570628,1
CRoaring,14835720,71,NOT_op,0.016767,0,0,11799001,1
CRoaring,14835720,71,OR_op_conv,0.063711,0,0,4570628,1
CRoaring,14835720,71,AND_op_conv,0.047588,0,0,0,1
CRoaring,14835720,71,XOR_op_conv,0.063775,0,0,4570628,1
CRoaring,14835720,71,NOT_op_conv,0.11272,0,0,11799001,1
CRoaring,14835720,71,COMP_op_native,0.019987,0,0,13301811,1
CRoaring,14835720,71,COMP_op,0.121866,0,0,13301811,1
