backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),14835720,71,load,2.58291,613126,0.00465664,0,1
DDC (New),14835720,71,OR,0.026837,0,0,4570628,1
DDC (New),14835720,71,AND,0.004188,0,0,0,1
DDC (New),14835720,71,XOR,0.00557,0,0,4570628,1
DDC (New),14835720,71,multi-OR,0.79218,0,0,14835720,1
DDC (New),14835720,71,OR_op,0.000352,0,0,4570628,1
DDC (New),14835720,71,AND_op,7e-05,0,0,0,1
DDC (New),14835720,71,XOR_op,0.000345,0,0,4570628,1
DDC (New),14835720,71,NOT_op,0.000328,0,0,11799001,1
DDC (New),14835720,71,COMP_op,0.02127,0,0,13301811,1
