backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),14835720,71,load,1.58447,1377992,0.0104657,0,1
WAH (FastBit),14835720,71,OR,0.008056,0,0,4570628,1
WAH (FastBit),14835720,71,AND,0.001638,0,0,0,1
WAH (FastBit),14835720,71,XOR,0.00177,0,0,4570628,1
WAH (FastBit),14835720,71,multi-OR,4.35603,0,0,14835720,1
WAH (FastBit),14835720,71,OR_op,0.000396,0,0,0,1
WAH (FastBit),14835720,71,AND_op,0.000296,0,0,0,1
WAH (FastBit),14835720,71,XOR_op,0.000303,0,0,0,1
WAH (FastBit),14835720,71,NOT_op,0.000137,0,0,0,1
WAH (FastBit),14835720,71,COMP_op,0.00118,0,0,0,1
WAH (FastBit),14835720,71,COMP_op_conv,0.080312,0,0,13301811,1
