backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),2963664,22,load,2.03523,2410663,0.295784,0,1
DDC (New),2963664,22,OR,0.168328,0,0,1040180,1
DDC (New),2963664,22,AND,0.164776,0,0,0,1
DDC (New),2963664,22,XOR,0.169098,0,0,1040180,1
DDC (New),2963664,22,multi-OR,0.880351,0,0,2963664,1
DDC (New),2963664,22,OR_op,0.034736,0,0,1040180,1
DDC (New),2963664,22,AND_op,0.036677,0,0,0,1
DDC (New),2963664,22,XOR_op,0.034521,0,0,1040180,1
DDC (New),2963664,22,NOT_op,0.015047,0,0,2343138,1
DDC (New),2963664,22,COMP_op,0.087151,0,0,2544010,1
