backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,36244344,3,load,0.055673,52592,0.00386944,0,1
EWAH,36244344,3,OR,0.026901,0,0,3313,1
EWAH,36244344,3,AND,0.010149,0,0,0,1
EWAH,36244344,3,XOR,0.022503,0,0,3313,1
EWAH,36244344,3,multi-OR,0.050309,0,0,4844,1
EWAH,36244344,3,OR_op,0.013385,0,0,0,1
EWAH,36244344,3,AND_op,0.007478,0,0,0,1
EWAH,36244344,3,XOR_op,0.013501,0,0,0,1
EWAH,36244344,3,NOT_op,0.014447,0,0,0,1
EWAH,36244344,3,COMP_op,0.049115,0,0,0,1
EWAH,36244344,3,COMP_op_conv,0.387739,0,0,36242772,1
