backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,14835720,71,load,0.968377,1455192,0.0110521,0,1
EWAH,14835720,71,OR,0.001422,0,0,4570628,1
EWAH,14835720,71,AND,0.000938,0,0,0,1
EWAH,14835720,71,XOR,0.001403,0,0,4570628,1
EWAH,14835720,71,multi-OR,1.72581,0,0,14835720,1
EWAH,14835720,71,OR_op,9.9e-05,0,0,0,1
EWAH,14835720,71,AND_op,8.8e-05,0,0,0,1
EWAH,14835720,71,XOR_op,0.0001,0,0,0,1
EWAH,14835720,71,NOT_op,9.6e-05,0,0,0,1
EWAH,14835720,71,COMP_op,0.000362,0,0,0,1
EWAH,14835720,71,COMP_op_conv,0.075633,0,0,13301811,1
