backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,234997,215,load,1.05616,291236,0.0461142,0,1
CRoaring,234997,215,OR,0.03682,0,0,100888,1
CRoaring,234997,215,AND,0.014648,0,0,0,1
CRoaring,234997,215,XOR,0.023312,0,0,100888,1
CRoaring,234997,215,multi-OR,0.429933,0,0,211073,1
CRoaring,234997,215,OR_op,0.005481,0,0,100888,1
CRoaring,234997,215,AND_op,0.006729,0,0,0,1
CRoaring,234997,215,XOR_op,0.011785,0,0,100888,1
CRoaring,234997,215,NOT_op,0.001581,0,0,150154,1
CRoaring,234997,215,OR_op_conv,0.00693,0,0,100888,1
CRoaring,234997,215,AND_op_conv,0.007192,0,0,0,1
CRoaring,234997,215,XOR_op_conv,0.013091,0,0,100888,1
CRoaring,234997,215,NOT_op_conv,0.002895,0,0,150154,1
CRoaring,234997,215,COMP_op_native,0.029726,0,0,218952,1
CRoaring,234997,215,COMP_op,0.030727,0,0,218952,1
