backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,2528312,6,load,0.513842,788278,0.415707,0,1
CRoaring,2528312,6,OR,0.17752,0,0,2206089,1
CRoaring,2528312,6,AND,0.019532,0,0,0,1
CRoaring,2528312,6,XOR,0.132608,0,0,2206089,1
CRoaring,2528312,6,multi-OR,0.199046,0,0,2528312,1
CRoaring,2528312,6,OR_op,0.01192,0,0,2206089,1
CRoaring,2528312,6,AND_op,0.003799,0,0,0,1
CRoaring,2528312,6,XOR_op,0.011582,0,0,2206089,1
CRoaring,2528312,6,NOT_op,0.076293,0,0,985048,1
CRoaring,2528312,6,OR_op_conv,0.026674,0,0,2206089,1
CRoaring,2528312,6,AND_op_conv,0.010022,0,0,0,1
CRoaring,2528312,6,XOR_op_conv,0.026681,0,0,2206089,1
CRoaring,2528312,6,NOT_op_conv,0.126206,0,0,985048,1
CRoaring,2528312,6,COMP_op_native,0.034314,0,0,1865487,1
CRoaring,2528312,6,COMP_op,0.050097,0,0,1865487,1
