backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,2609129,2,load,0.012887,104,0.00015944,0,1
EWAH,2609129,2,OR,0.00145,0,0,2609129,1
EWAH,2609129,2,AND,0.001081,0,0,0,1
EWAH,2609129,2,XOR,0.001209,0,0,2609129,1
EWAH,2609129,2,OR_op,8e-05,0,0,0,1
EWAH,2609129,2,AND_op,8.5e-05,0,0,0,1
EWAH,2609129,2,XOR_op,8.6e-05,0,0,0,1
EWAH,2609129,2,NOT_op,7.1e-05,0,0,0,1
EWAH,2609129,2,COMP_op,0.000244,0,0,0,1
EWAH,2609129,2,COMP_op_conv,0.007019,0,0,0,1
